!CSV A.01.01,,,,,,,,
!Agilent Technologies,N5227A,US51270345,A.09.80.20,,,,,
!Agilent N5227A: A.09.80.20,,,,,,,,
!Date: Monday, November 26, 2018 16:20:54,,,,,,
!Source: Standard,,,,,,,,
!,,,,,,,,
!BEGIN CH1_DATA,,,,,,,,
!Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
10000000,0.94167626,-0.22588134,0.068067797,0.051002357,-0.060029123,0.025300507,0.82483655,-0.36166236
10100003.344593,0.88770461,-0.30154309,-0.010596177,0.032123562,0.018158909,0.028437471,0.89371753,-0.36206117
10200006.689187,0.93435121,-0.2723906,-0.028669586,-0.018388564,-0.037062559,-0.031242972,0.78349507,-0.25920129
10300010.03378,0.83836633,-0.24860634,-0.054180354,0.036948536,0.046681743,0.034051735,0.88745981,-0.43982834
10400013.378374,0.93590921,-0.24150893,0.044704575,-0.0084120203,0.0005739101,-0.040605824,0.80810171,-0.4034228
10500016.722967,0.92480731,-0.30411279,-0.00931866,0.033174254,0.05132116,0.047719602,0.83056808,-0.46735576
10600020.067561,0.80569911,-0.32399586,0.020605803,0.0045300187,0.027075332,-0.042081904,0.82174861,-0.33762378
10700023.412154,0.92727482,-0.28310892,0.055716872,-0.033013072,-0.044353321,0.013014001,0.87650609,-0.35468173
10800026.756748,0.88712078,-0.3679671,-0.0060024783,0.031982992,-0.053148445,-0.038101159,0.82125205,-0.43688369
10900030.101341,0.87466103,-0.29782748,0.0166132,-0.011838038,0.045303799,0.016797811,0.74063188,-0.37909743
11000033.445935,0.90405422,-0.21861979,-0.0005930739,-0.01284259,0.014768634,-0.070573814,0.82441169,-0.48981133
11100036.790528,0.86508334,-0.33877498,0.013917684,0.0030858717,0.0072140964,0.036685649,0.77882034,-0.44454637
11200040.135122,0.85083199,-0.30609038,0.015241875,-0.02920397,0.05597873,0.0080957068,0.86855495,-0.41959855
11300043.479715,0.94265413,-0.29168004,0.025072597,-0.008370487,0.023121027,0.0012737267,0.83907139,-0.27895036
11400046.824309,0.86588335,-0.31514502,-0.057169423,-0.0068760593,-0.073210441,-0.0068744002,0.79697198,-0.4025971
11500050.168902,0.85886145,-0.29287979,-0.03792049,0.030923359,-0.055989005,0.045862373,0.83045292,-0.41040665
11600053.513495,0.90313601,-0.37522244,0.018163417,-0.0096499315,0.057337426,-0.026580123,0.76643074,-0.46596035
11700056.858089,0.85740054,-0.33699733,0.0069739055,-0.0059005748,-0.021382116,0.02730142,0.82897198,-0.41087213
11800060.202682,0.87472123,-0.3373715,0.0051250658,-0.028347773,0.026311856,-0.033119172,0.72984332,-0.50018603
11900063.547276,0.91864485,-0.29242235,0.030715493,0.025438212,-0.034613408,-0.0010300935,0.92074013,-0.48853335
12000066.891869,0.890908,-0.32031384,-0.0058324747,-0.028449219,-0.0669448,-0.024427682,0.77511287,-0.43346402
12100070.236463,0.87535608,-0.3374567,-0.015685722,0.025906663,0.013683985,0.054741383,0.74902868,-0.43478715
12200073.581056,0.8190912,-0.33064657,-0.0088216774,-0.02767854,0.038850471,-0.115403,0.84074861,-0.39678833
12300076.92565,0.87789792,-0.31482279,0.0048582493,-0.010626523,-0.0058984142,-0.023298401,0.81322396,-0.44006014
12400080.270243,0.8538475,-0.29003438,-0.0041250917,-0.032468785,-0.01141573,-0.02054083,0.81588072,-0.4839426
12500083.614837,0.88596278,-0.37035662,-0.032113038,-0.0016657391,0.025944743,-0.020096529,0.81037712,-0.43775308
12600086.95943,0.84225047,-0.33946994,0.012514975,0.0093670171,0.012447999,0.018025249,0.78873956,-0.50659716
12700090.304024,0.85355586,-0.30882168,-0.015303837,0.024383049,0.0001839039,-0.0022885038,0.86516041,-0.43266603
12800093.648617,0.86865795,-0.38824356,0.042632844,0.026960813,-0.024168434,0.040373381,0.77790529,-0.38156575
12900096.99321,0.86667651,-0.38811257,0.037214227,0.019400857,0.018458527,-0.036012523,0.72050458,-0.41397443
13000100.337804,0.85308516,-0.28878918,-0.04761751,0.0036631215,0.019718103,0.045241576,0.78246582,-0.47823417
13100103.682397,0.86327094,-0.34438348,-0.03245936,0.060948499,0.042510677,-0.013701409,0.80743772,-0.45162478
13200107.026991,0.94538093,-0.36687356,0.004577639,0.0088410219,0.018400665,0.013608051,0.83767635,-0.48582184
13300110.371584,0.8395943,-0.37106192,-0.0068929768,-0.0012483482,-0.0087198149,-0.016118677,0.82383186,-0.46710092
13400113.716178,0.80262685,-0.42078906,0.018550331,0.028234998,-0.025278244,-0.035073858,0.78501564,-0.49521977
13500117.060771,0.80146033,-0.36725846,0.022201177,0.0095516723,-0.0089483503,-0.027030306,0.71692616,-0.42966512
13600120.405365,0.85124493,-0.39503598,-0.0012239841,0.0049781064,0.024094781,0.048085615,0.7665723,-0.42335403
13700123.749958,0.82917583,-0.37396058,0.031166062,-0.0049635773,0.017271457,-0.0091838464,0.722206,-0.50356817
13800127.094552,0.84153771,-0.39078215,0.035829127,0.036357693,0.016106939,-0.032695271,0.74735099,-0.43089718
13900130.439145,0.85244584,-0.40435457,-0.031791009,0.059263222,-0.0047393907,-0.0008450213,0.7655285,-0.49727029
14000133.783739,0.83709538,-0.42573518,0.0093101151,-0.014338768,-0.0041704187,0.05579447,0.8065533,-0.47637919
14100137.128332,0.83679104,-0.40559325,-0.0026630983,0.0044669025,0.022546217,0.0046483325,0.74410075,-0.47634748
14200140.472926,0.86924464,-0.39668664,0.029342333,0.0004258582,-0.009275292,0.024787275,0.794779,-0.4990848
14300143.817519,0.85415381,-0.37822059,0.018125601,-0.0049716975,-0.016279897,0.023106564,0.79799503,-0.44438547
14400147.162112,0.84918648,-0.38739738,-0.034523111,-0.0076638935,-0.017708384,0.023089046,0.8051433,-0.44618249
14500150.506706,0.80415934,-0.418874,-0.0001861281,0.0045797066,0.0064433576,0.024117265,0.78116608,-0.46491635
14600153.851299,0.83352685,-0.43450546,-0.0005373007,0.020476993,-0.014652581,-0.018773643,0.74738133,-0.5119049
14700157.195893,0.77904505,-0.46031457,0.003837487,0.012022465,-0.020448295,-0.039754231,0.76414186,-0.48439986
14800160.540486,0.78447002,-0.41089612,-0.024530774,-0.028028324,-0.023484699,0.0029082585,0.69614249,-0.49745718
14900163.88508,0.83135158,-0.44779029,-0.005808929,0.0057204701,-0.012907349,-0.0078131901,0.745417,-0.48275533
15000167.229673,0.80527663,-0.43150073,-0.0074834158,-0.0027961656,0.0027832554,-0.041190058,0.81024927,-0.50318068
15100170.574267,0.78606343,-0.41127807,0.014915669,0.010242797,0.014273083,0.0083841868,0.77871227,-0.52324873
15200173.91886,0.8128041,-0.43196532,-0.01939187,0.010131948,0.0047187926,0.0026507052,0.77923429,-0.53874993
15300177.263454,0.79354179,-0.46699142,0.017614331,0.0070278998,0.0041499794,-0.0068986989,0.78789335,-0.47992772
15400180.608047,0.8255744,-0.44647428,0.0062601231,0.025980752,-0.024579886,0.013502127,0.69410801,-0.50650698
15500183.952641,0.75946224,-0.47130322,0.027591661,0.0033430094,-0.013623044,0.0032263815,0.73213899,-0.52095115
15600187.297234,0.76088244,-0.51514995,0.0052551436,-0.0002010503,-0.0012281623,-0.024586756,0.75282556,-0.55039227
15700190.641827,0.79752302,-0.49596408,0.0041668452,0.023317244,-0.023752177,-0.017514551,0.77581197,-0.48026288
15800193.986421,0.79249829,-0.44504181,0.02708656,-0.01625468,0.0019615742,-0.0071106264,0.75517809,-0.48086512
15900197.331014,0.79473394,-0.45764396,-0.0016979834,-0.018007565,0.018615317,0.017871523,0.74816906,-0.57251477
16000200.675608,0.77971619,-0.48451427,-0.0002277686,0.017768364,0.017300118,0.017713578,0.7586621,-0.49945003
16100204.020201,0.77596712,-0.48056754,-0.015911082,0.033753261,-0.0058234455,-0.0080902139,0.72599083,-0.4857251
16200207.364795,0.78291607,-0.49453497,-0.020089693,-0.006055024,0.025677435,-0.0007746264,0.74313402,-0.51688886
16300210.709388,0.77509201,-0.50749683,-0.010925628,0.013003814,-0.0067911558,-0.012258361,0.74767751,-0.51192182
16400214.053982,0.77337837,-0.41001138,-0.011708423,-0.013365607,0.011512983,-0.0007504732,0.73843193,-0.50059468
16500217.398575,0.77369577,-0.48563832,0.0047651902,-0.012243488,-0.0046329033,0.018953864,0.74635655,-0.53329903
16600220.743169,0.74973416,-0.49145731,0.0073583536,-0.0042477841,0.0096581606,0.011559683,0.72158289,-0.54742038
16700224.087762,0.7747221,-0.49971533,-0.0008444617,-0.0042217169,-0.0037888065,0.021908576,0.7285015,-0.51420635
16800227.432356,0.79660702,-0.50397193,-0.017242992,0.0061049755,-0.019058172,-0.02942927,0.71544665,-0.55192375
16900230.776949,0.80739778,-0.49187976,-0.0123486,-0.0027036248,0.013829486,0.027350876,0.72913182,-0.50298315
17000234.121543,0.7879107,-0.53022408,0.012927344,-0.006110921,0.022344943,-0.032975819,0.74547398,-0.52133965
17100237.466136,0.77825141,-0.52799714,0.012825604,-0.0094229626,0.0012363564,-0.01661312,0.77033865,-0.48421904
17200240.810729,0.75881779,-0.48035127,-0.018528696,0.0094869044,-0.0047581419,0.0093203019,0.71852374,-0.54173142
17300244.155323,0.72371477,-0.50164169,0.037024606,0.008138366,-0.020726033,0.024601897,0.71913123,-0.51118308
17400247.499916,0.7838456,-0.50959694,0.021356285,-0.0026171675,-0.0035849521,0.0008149853,0.74198532,-0.53064048
17500250.84451,0.74638176,-0.50255066,-0.0072140954,-0.0024614593,-0.01974644,-0.015726466,0.71104473,-0.57004493
17600254.189103,0.75103474,-0.51118648,0.0022983134,-0.023374408,-0.0049883905,0.015138808,0.74087805,-0.51954466
17700257.533697,0.75111604,-0.51930791,-0.0061801281,-0.027089182,0.0088872025,0.012021462,0.71261472,-0.5250659
17800260.87829,0.76137155,-0.49689278,0.013795733,0.047579184,-0.014089816,0.014563943,0.72107685,-0.5449934
17900264.222884,0.75355381,-0.5355404,-0.0030880794,0.0061218599,-0.0047081579,-0.02992768,0.71761125,-0.51939803
18000267.567477,0.7338568,-0.50767297,-0.031303313,-0.0059299632,0.029038573,-0.0071815415,0.73541403,-0.54465783
18100270.912071,0.7649442,-0.53351873,-0.0002352645,-0.0005701178,0.0084441928,-0.0026580133,0.73919708,-0.55174637
18200274.256664,0.75026119,-0.52662969,0.004984627,-0.0011567809,0.0090498775,-0.020777041,0.69972301,-0.574413
18300277.601258,0.72846866,-0.53058594,0.0030042201,0.015925402,0.0090284552,0.031341325,0.70807493,-0.56834793
18400280.945851,0.72820926,-0.53095561,-0.022826334,-0.0011951441,-0.016141197,-0.011341489,0.73626304,-0.55567527
18500284.290444,0.76655406,-0.56674969,0.0081175445,-0.0051706061,-0.0098658549,0.0026581537,0.68482083,-0.57532251
18600287.635038,0.74560565,-0.55889922,-0.0028987746,-0.0033119684,-0.0062921154,-0.01062948,0.70614749,-0.58956426
18700290.979631,0.73288006,-0.54148102,-0.016397612,-0.032511462,-0.015068053,-0.003505711,0.71581876,-0.55493981
18800294.324225,0.75151402,-0.55854017,0.01388228,-0.0052722557,-0.00758499,0.0078811897,0.70802999,-0.56636751
18900297.668818,0.73760021,-0.55675477,-0.0027355801,-0.017004725,-0.011882487,-0.0073004644,0.70600641,-0.568295
19000301.013412,0.71614116,-0.58489114,0.0048905155,-0.0078813359,-0.0045265402,0.02091367,0.71323586,-0.55463082
19100304.358005,0.72894657,-0.54730326,0.01593468,0.0049347333,-0.022484718,0.019243697,0.69091612,-0.55093509
19200307.702599,0.7082395,-0.5469197,0.0007536229,0.0065076114,0.009163796,-0.013534724,0.66059166,-0.57455057
19300311.047192,0.69597739,-0.55704552,0.0004827336,-0.017864019,-0.022375369,-0.02659696,0.69015604,-0.58877611
19400314.391786,0.71814746,-0.57162178,-0.011993567,0.0009168062,0.0010502087,0.014804998,0.68376553,-0.61493689
19500317.736379,0.72662288,-0.58343667,-0.017620683,-0.0008148542,-0.0062170015,-0.015361796,0.70180744,-0.58143324
19600321.080973,0.72318047,-0.57231897,0.022134675,-0.011124309,-0.016526164,0.01712657,0.68991399,-0.60062015
19700324.425566,0.72226024,-0.58388263,-0.0069583557,-0.0006891345,0.019139914,0.016308814,0.66417664,-0.59606475
19800327.77016,0.71634007,-0.54686475,-0.015742274,-0.0059567783,-0.033031307,0.02272914,0.68554544,-0.61276084
19900331.114753,0.68734723,-0.57340246,-0.0059898994,-0.0050362842,4.7300359e-006,0.0004036767,0.66636503,-0.61918497
20000334.459346,0.7094177,-0.61004126,-0.017956417,-0.0087882243,0.0091728754,0.0045953407,0.6694774,-0.5924288
20100337.80394,0.69752705,-0.58223635,0.006977926,-0.0054013012,-0.011182813,0.020435991,0.64834541,-0.61264241
20200341.148533,0.68710452,-0.59290481,-0.0061028358,0.0001326075,0.0004187142,0.0063931807,0.6593523,-0.61505389
20300344.493127,0.68539149,-0.61841542,0.0017572256,0.0077243051,-0.0073208408,-0.0058983224,0.62303096,-0.60393852
20400347.83772,0.72256696,-0.60052347,0.013980489,0.0047854013,-0.02484644,-0.0071313749,0.67153513,-0.62165868
20500351.182314,0.70048845,-0.6034435,6.4419059e-005,-0.0010444118,-0.0035518815,-0.0016584712,0.69582349,-0.61242849
20600354.526907,0.7064513,-0.57821375,0.02305821,0.0054011922,-0.017288329,-0.0023663805,0.6836766,-0.61520755
20700357.871501,0.67044806,-0.5982722,-0.0009939602,-0.010617286,0.0099167041,-0.0059429416,0.64189768,-0.59600443
20800361.216094,0.68178093,-0.60448223,-0.012414376,0.016132664,-0.0061550746,-0.002857062,0.68822598,-0.59906942
20900364.560688,0.70706308,-0.60188735,-0.0078987582,0.022348762,-0.0068604718,-0.0071210302,0.66653407,-0.60662031
21000367.905281,0.69425184,-0.60182673,0.0046036295,-0.0010914047,0.0026911132,0.0034677554,0.66021854,-0.61885446
21100371.249875,0.69561905,-0.62526655,0.028643785,-0.011509524,0.014745275,0.0008214507,0.6294741,-0.57609248
21200374.594468,0.66698951,-0.60707021,-0.0019616904,0.0014142848,-0.0001412935,-0.0082618007,0.6230287,-0.60871774
21300377.939062,0.67216665,-0.61469096,2.6263031e-005,0.0017076404,-0.0015422713,-0.0047249566,0.66323709,-0.62122583
21400381.283655,0.69014937,-0.61782622,-0.0025517249,-0.012507783,0.0080864457,0.01264127,0.6683594,-0.63662899
21500384.628248,0.69419813,-0.6281082,-0.0060261083,0.016806792,0.0070476169,-0.0071235844,0.67754799,-0.62968969
21600387.972842,0.67024803,-0.61214924,0.010283593,0.0058128033,0.011254583,-0.0085284514,0.62533009,-0.59664303
21700391.317435,0.67617583,-0.62301087,0.01639607,0.0007805653,0.0011912285,-0.0004811682,0.62924361,-0.64536911
21800394.662029,0.66731185,-0.62566864,0.021765769,-0.0051977648,-0.0050426284,0.027224053,0.62440312,-0.65057039
21900398.006622,0.66569757,-0.61489904,-0.023062883,-0.0056561469,-0.0096891895,-0.015980821,0.6523754,-0.63402522
22000401.351216,0.63285589,-0.6486575,-0.0021117833,0.0005533889,0.023251986,-0.0073082126,0.64599931,-0.61561185
22100404.695809,0.66003776,-0.63209862,-0.001309439,-0.020053009,0.015545225,-0.012958055,0.646483,-0.58901203
22200408.040403,0.64545339,-0.63896596,0.0056656832,-0.0077602305,-0.0081383307,-0.018733144,0.65511757,-0.63698041
22300411.384996,0.65067005,-0.64368176,0.0021092738,0.0082968567,-0.0048954198,0.0070653418,0.62713832,-0.66230673
22400414.72959,0.64167184,-0.66936302,-0.0007622494,0.0060126404,-0.011838758,0.0012911436,0.62830013,-0.66325808
22500418.074183,0.65050769,-0.65496814,0.0077199442,0.016266413,0.0031390435,0.0032914826,0.64310503,-0.65406328
22600421.418777,0.63677299,-0.64478129,5.8611069e-005,0.0043549333,-0.0076310751,-0.01107231,0.61358923,-0.63613009
22700424.76337,0.63801736,-0.66860271,-0.0041699149,0.0002702535,-0.0034012967,0.0016968254,0.62889671,-0.62509233
