!CSV A.01.01,,,,,,,,
!Agilent Technologies,N5227A,US51270345,A.09.80.20,,,,,
!Agilent N5227A: A.09.80.20,,,,,,,,
!Date: Monday, November 26, 2018 16:00:59,,,,,,
!Source: Standard,,,,,,,,
!,,,,,,,,
!BEGIN CH1_DATA,,,,,,,,
!Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
10000000,1.0002674,-0.01785804,7.4883552e-005,1.8870058e-005,0.0001967712,0.0002242033,0.99949348,-0.016529793
10100003.344593,1.0004559,-0.018974815,-0.0002580161,6.2360996e-005,-0.0001856555,-0.0001115987,0.99916577,-0.017148245
10200006.689187,1.0005057,-0.018762525,0.0001175182,-0.00013399,2.0524416e-005,0.0001135652,0.99975091,-0.017374758
10300010.03378,1.0001132,-0.018923581,0.0003077555,0.0001027773,-4.0485966e-006,0.0001325864,0.99939215,-0.017491132
10400013.378374,1.000147,-0.018839512,0.0002439142,2.6154326e-005,-0.0002142635,3.3519427e-005,0.99984312,-0.017660698
10500016.722967,1.0000978,-0.018685117,-0.0002531673,-0.0001316188,-3.9392122e-005,2.2112767e-005,0.999731,-0.018171338
10600020.067561,0.99991959,-0.019238256,-0.0002332089,0.0001353506,-0.0003375089,0.0001406944,0.9998678,-0.017578922
10700023.412154,1.0001801,-0.019488599,-4.0568684e-005,-0.000162442,-6.1807725e-005,0.0001111672,0.99970239,-0.018522631
10800026.756748,1.0000702,-0.019227603,9.0874644e-005,-0.0002577718,2.4762161e-005,-0.0001139817,0.99994832,-0.018072214
10900030.101341,1.0001476,-0.019314975,-6.3621796e-005,-0.0001075881,0.0002163851,-6.899728e-005,0.99986911,-0.01845018
11000033.445935,0.99978387,-0.019679502,-9.4708259e-005,-0.0001107181,8.536427e-005,0.0001232288,0.9998458,-0.018592414
11100036.790528,0.99980891,-0.019973898,-9.7723947e-005,-0.0002471705,-2.1685019e-005,0.000175906,0.99962008,-0.018514331
11200040.135122,0.99977922,-0.019692346,6.1080304e-006,-1.5546468e-005,0.0002115444,-5.2830637e-005,0.99997711,-0.019255027
11300043.479715,0.99959403,-0.019472526,-3.0493809e-005,0.0002214976,8.0301324e-006,9.769349e-005,1.0001388,-0.019687876
11400046.824309,0.99923784,-0.020349205,-0.0001150801,-0.0002927793,-8.3808583e-005,-6.4335531e-005,0.99975598,-0.019366061
11500050.168902,0.99923742,-0.02030397,-3.0897321e-005,0.0001912931,-0.0002297472,0.0002428132,0.99996793,-0.019628484
11600053.513495,0.99963391,-0.020657141,6.1562328e-005,0.0003921417,0.0001562681,-0.0002369915,0.99959207,-0.019378277
11700056.858089,0.9997769,-0.020587638,0.0001296955,0.0001057659,0.0001779616,0.0003275472,0.99976802,-0.019941797
11800060.202682,0.99944782,-0.021056088,-0.000240559,8.6954515e-006,7.9018682e-005,7.7253768e-005,0.99962956,-0.019910106
11900063.547276,1.0001733,-0.021336198,0.0001418144,-5.0659361e-005,-3.9894188e-005,-0.0002787825,0.99989647,-0.020168277
12000066.891869,0.99972063,-0.021221157,0.0001328561,9.5845178e-005,0.0001717141,2.7287948e-005,0.99963397,-0.019797888
12100070.236463,0.9999907,-0.021432649,8.3710962e-005,-0.0001721329,-9.4919749e-005,0.0001769956,0.99970204,-0.021222487
12200073.581056,0.99972057,-0.021663522,3.1313433e-005,4.7874277e-005,-3.8926617e-005,0.0001114856,0.9996168,-0.02098372
12300076.92565,0.99976307,-0.021767484,-9.2456205e-005,-5.7691203e-005,-0.000195513,-0.0001482678,0.99962533,-0.020486634
12400080.270243,0.99991572,-0.021806562,-0.0001142815,-6.8183341e-005,-0.0001549741,-4.8731832e-005,0.99979991,-0.020961193
12500083.614837,0.99932915,-0.022684647,0.0001375295,0.0001089141,3.3728971e-005,0.0001300878,0.99979168,-0.020878579
12600086.95943,0.9999094,-0.021725638,-9.9454184e-005,-0.0001172373,-0.0002333456,-1.5658346e-005,0.99984872,-0.021209203
