!CSV A.01.01,,,,,,,,
!Agilent Technologies,N5227A,US51270345,A.09.80.20,,,,,
!Agilent N5227A: A.09.80.20,,,,,,,,
!Date: Monday, November 26, 2018 15:59:11,,,,,,
!Source: Standard,,,,,,,,
!,,,,,,,,
!BEGIN CH1_DATA,,,,,,,,
!Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
10000000,0.90694159,-0.2622394,-0.0002441552,-0.0001894717,-0.0001775298,-0.0002510901,0.8294456,-0.39201108
10100003.344593,0.90449357,-0.26596823,5.3424988e-006,6.2349063e-005,0.000101296,-2.9088744e-005,0.82867736,-0.39401993
10200006.689187,0.90414029,-0.26998848,-7.7673081e-005,-8.0230908e-005,9.9169149e-005,-0.0002237626,0.82725626,-0.39586127
10300010.03378,0.90261638,-0.27380702,-0.0002239229,-4.8796333e-005,-0.0003128902,-7.7866607e-006,0.82575828,-0.39813784
10400013.378374,0.90101779,-0.27730393,2.8257811e-005,-2.9689394e-005,-0.000112591,-7.5095442e-005,0.8248868,-0.40052384
10500016.722967,0.89991057,-0.28131947,-0.0002494465,-0.0001046177,7.259443e-006,0.0002261191,0.82345158,-0.40279621
10600020.067561,0.89848155,-0.28488156,-0.0001358528,-1.9416673e-005,-7.0258588e-006,-0.0001171775,0.82261109,-0.40480712
10700023.412154,0.89715511,-0.28853041,-0.0001450349,-9.4448733e-005,-0.0001705668,-0.0001516768,0.82133836,-0.40667483
10800026.756748,0.89531338,-0.2917369,-0.0003114754,5.5782559e-005,-0.0001356753,-1.9254371e-006,0.81985795,-0.40912625
10900030.101341,0.89402074,-0.29537421,0.0001005833,4.5460474e-006,-0.0003496184,-0.0001588498,0.8186779,-0.4112516
11000033.445935,0.89221925,-0.29910687,3.0913587e-005,0.0002992024,0.0001530576,-0.0001532575,0.81778902,-0.41327396
11100036.790528,0.89059496,-0.30301815,-7.079255e-005,0.0004226741,0.0003282081,-0.0001415875,0.81660211,-0.41547903
11200040.135122,0.88922578,-0.30634212,0.0002284049,0.000197679,-1.3636703e-005,-8.2893079e-005,0.81562412,-0.41729063
11300043.479715,0.88745362,-0.31009561,-0.0001374398,0.0002571775,-0.0004187177,0.0001806441,0.81447577,-0.41963813
11400046.824309,0.88580894,-0.31334323,-4.3152075e-005,-0.0001474794,3.0406747e-005,7.6754382e-005,0.81350869,-0.42152688
11500050.168902,0.88404584,-0.31729177,5.308578e-005,-0.0001819519,-6.9404261e-005,-1.1020679e-005,0.81160748,-0.42352411
11600053.513495,0.88278955,-0.32048213,8.7769084e-005,9.1027287e-005,0.0002996167,0.0001642425,0.81068724,-0.4256638
11700056.858089,0.88117975,-0.32395941,0.0001169126,-0.000186781,-2.8656745e-005,0.0001464083,0.80933684,-0.42781985
11800060.202682,0.87922442,-0.32750896,7.3006086e-005,1.605326e-005,4.018825e-005,0.0001367831,0.80813462,-0.42995703
11900063.547276,0.87781143,-0.33107495,-0.0001995043,-0.000139711,5.2131109e-005,0.000192586,0.8073501,-0.43199283
12000066.891869,0.87590283,-0.33461609,-0.0001035977,9.6228745e-005,-0.0002060233,-4.9503236e-005,0.80575234,-0.43430644
12100070.236463,0.87388545,-0.33798456,9.2460527e-005,-1.0013083e-005,-6.6751323e-005,-8.0213329e-005,0.80497849,-0.43590549
12200073.581056,0.87248778,-0.34156659,1.5489684e-005,3.9600258e-005,-3.0924168e-006,-0.0003909885,0.80375725,-0.43801779
12300076.92565,0.87060332,-0.34474987,6.3904023e-005,6.8819973e-006,3.5842371e-005,3.1188586e-006,0.80265713,-0.44027367
12400080.270243,0.86863011,-0.34816772,-2.5383233e-005,-7.9361183e-005,-4.5702211e-005,9.9672958e-005,0.8013764,-0.44229832
12500083.614837,0.86708581,-0.35131419,-0.0001023142,0.0001134362,-8.4191088e-005,-1.4554147e-005,0.8003087,-0.44400507
12600086.95943,0.86502522,-0.3547048,-6.4095948e-005,7.8255449e-005,-1.3777119e-005,-0.0001382375,0.79897273,-0.44631246
12700090.304024,0.86317754,-0.35881659,-3.4247245e-005,-0.0002868634,0.0001194626,0.0002074931,0.79784691,-0.44846356
12800093.648617,0.86161315,-0.36173093,-2.2841028e-005,2.4539415e-005,0.0001113472,0.0001887206,0.79664004,-0.45046026
12900096.99321,0.85957646,-0.36503556,0.00015328,0.0001182491,8.7931512e-005,0.0001053982,0.79507834,-0.45282823
13000100.337804,0.85780537,-0.368366,6.736489e-005,-7.0343624e-005,1.2888567e-006,-5.7459743e-005,0.79404962,-0.45438737
13100103.682397,0.85624212,-0.37189054,-0.0001290251,-4.0564437e-006,1.887398e-005,3.8483497e-005,0.79304326,-0.45667878
13200107.026991,0.85421854,-0.37515569,1.0565567e-005,-2.0003643e-005,-1.6649969e-005,-0.000209862,0.79152495,-0.45869011
13300110.371584,0.85255527,-0.37849665,3.9965329e-005,4.5392997e-005,3.8634271e-006,-8.3243875e-005,0.78987736,-0.46073431
13400113.716178,0.85075098,-0.38183454,2.7142709e-005,4.0962175e-005,5.0850016e-005,-0.0001009389,0.78895688,-0.46275476
13500117.060771,0.84871495,-0.38491493,0.0001428227,5.261238e-005,0.0002283734,0.0001515202,0.78757679,-0.46458191
13600120.405365,0.84676343,-0.38852403,-0.0002324505,0.0001308046,5.0289542e-005,0.0001529297,0.7865479,-0.46662861
13700123.749958,0.84514403,-0.3914808,-7.848777e-005,-0.000114224,7.9196063e-005,-0.0003330846,0.78526449,-0.46845037
13800127.094552,0.84279305,-0.39479792,-5.2645071e-005,5.4655855e-005,0.0001410994,4.7178284e-005,0.78400052,-0.47060081
13900130.439145,0.84120768,-0.39821276,-0.0001131487,-4.8213519e-006,5.4640394e-005,5.5244771e-005,0.78257912,-0.47286996
14000133.783739,0.83937943,-0.40136611,5.9679922e-005,-7.4195552e-005,7.1564791e-005,-3.4787561e-005,0.78118831,-0.47466877
14100137.128332,0.83755791,-0.40472233,-8.0731428e-005,0.0002007722,5.9255119e-005,-6.1684215e-005,0.77946615,-0.47660324
14200140.472926,0.83566552,-0.4080036,-9.5961099e-005,0.0001383989,0.0001094092,-3.4679237e-005,0.77848446,-0.47869137
14300143.817519,0.83370769,-0.41110736,3.7614318e-005,-0.000107728,-1.413589e-005,-0.0001029711,0.77688211,-0.48054883
14400147.162112,0.83175361,-0.41424397,0.0001236785,-9.4851872e-005,1.2985337e-005,8.8422739e-006,0.77532947,-0.48244458
14500150.506706,0.83005279,-0.41768286,2.9609626e-005,3.8043851e-005,-0.0001536154,0.0001574817,0.7739464,-0.48482534
