!CSV A.01.01,,,,,,,,
!Agilent Technologies,N5227A,US51270345,A.09.80.20,,,,,
!Agilent N5227A: A.09.80.20,,,,,,,,
!Date: Monday, November 26, 2018 16:04:43,,,,,,
!Source: Standard,,,,,,,,
!,,,,,,,,
!BEGIN CH1_DATA,,,,,,,,
!Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
14400147.162112,0.82768577,-0.42078298,1.906917e-005,-5.019029e-005,-5.9385577e-005,6.7413625e-006,0.77361482,-0.48514956
14500150.506706,0.82552636,-0.42370912,0.0001201535,3.1686908e-005,-0.0001087169,-6.2319625e-005,0.77194905,-0.48717999
14600153.851299,0.82380795,-0.42705661,-5.7613459e-005,2.7073918e-005,-2.2710739e-005,-8.1198108e-005,0.7709496,-0.48897719
14700157.195893,0.82177705,-0.43014875,-2.7477416e-005,-0.0001145228,-4.6999627e-005,-9.974702e-005,0.76934689,-0.49129263
14800160.540486,0.81974053,-0.43318266,-6.6017266e-005,-4.02816e-005,0.0001171656,8.1266946e-005,0.76796818,-0.49323678
14900163.88508,0.81769454,-0.43648171,5.5556866e-005,-2.9733932e-005,-0.0001300676,-2.0717967e-005,0.76658261,-0.4951283
15000167.229673,0.81626236,-0.44009021,-1.3316194e-006,-2.4491072e-005,-3.655125e-005,-0.0001927647,0.76526862,-0.49675906
15100170.574267,0.81423378,-0.44326103,-9.3178591e-005,-1.2524979e-005,-0.0001193082,4.9809889e-005,0.76360369,-0.49875891
15200173.91886,0.81253749,-0.44636691,-2.5496798e-005,4.5849818e-005,5.4237655e-005,-6.8437628e-005,0.76213247,-0.50099123
15300177.263454,0.81080812,-0.44954363,-0.0001298679,1.3626036e-005,2.3289342e-005,0.0001024735,0.76033205,-0.50291359
15400180.608047,0.80867267,-0.45270833,-0.0001720212,-6.4056672e-005,0.0001443167,1.2307254e-005,0.75841135,-0.50530726
15500183.952641,0.80678499,-0.45572591,2.7871283e-005,-0.0001022375,-6.3949636e-005,-1.7418989e-006,0.75719136,-0.50737888
15600187.297234,0.80493826,-0.45880589,0.0001324646,7.9415895e-006,0.0002264384,9.1372058e-005,0.75534606,-0.50914031
15700190.641827,0.80290133,-0.46168694,8.403336e-005,-6.0982278e-005,-0.0001610795,-3.1418815e-005,0.75381684,-0.51134062
15800193.986421,0.80093789,-0.46507928,-0.0001092918,-7.9395013e-006,0.0001955186,-0.0002124129,0.75212437,-0.51333815
15900197.331014,0.79906112,-0.46788657,7.224502e-005,-6.3263593e-005,2.211402e-005,-3.5021119e-005,0.7502836,-0.51525533
16000200.675608,0.7969349,-0.47102877,-0.0001236211,3.5164383e-005,-0.0001748275,0.0001748091,0.74877763,-0.51744753
16100204.020201,0.79507554,-0.47409374,2.2288841e-005,-7.4090909e-005,4.2426134e-005,-3.6340509e-005,0.74739623,-0.51946944
16200207.364795,0.79311013,-0.4771677,-0.0001610046,-7.9881705e-005,0.0001171214,8.9590925e-005,0.74559218,-0.52152073
16300210.709388,0.79108936,-0.48034573,-5.1615923e-005,2.3053371e-005,4.7613405e-005,-5.7093745e-005,0.74391371,-0.52371597
16400214.053982,0.78916246,-0.48331615,4.0680592e-005,5.6849589e-005,3.8892667e-005,5.6613771e-006,0.74208575,-0.52561182
16500217.398575,0.78701842,-0.48603064,-6.9058842e-005,9.7492066e-006,2.0146192e-005,-0.0001539465,0.74052757,-0.52755779
16600220.743169,0.78506148,-0.48901328,-1.9701494e-005,4.4166986e-006,-7.8330406e-005,-5.6125835e-005,0.73905444,-0.5295462
16700224.087762,0.78291285,-0.49191925,-2.9964998e-005,8.5222331e-005,7.2472496e-005,-0.0001552628,0.73756194,-0.53169
16800227.432356,0.78085959,-0.49507809,-3.5645306e-005,4.3629923e-005,-9.3482253e-005,-0.0001680907,0.73560262,-0.53357744
16900230.776949,0.77881432,-0.49789318,3.4223278e-005,1.873399e-005,1.6970656e-005,2.1964781e-005,0.7340104,-0.53550649
17000234.121543,0.77667856,-0.50083518,-0.0001019392,7.0821749e-005,-0.0001041351,5.7986974e-005,0.73225904,-0.53751379
17100237.466136,0.77486825,-0.50371456,7.9156642e-005,1.7417218e-005,-4.8572994e-005,-7.8230856e-005,0.73074692,-0.53935075
17200240.810729,0.77246928,-0.50650585,-5.5120439e-005,8.6175605e-006,-0.0001219559,4.1311017e-005,0.72913271,-0.5411939
17300244.155323,0.77052039,-0.50972652,-6.7477929e-005,1.389981e-005,3.6591751e-005,9.074517e-006,0.72732943,-0.54333991
17400247.499916,0.76832426,-0.51266325,5.077965e-005,-8.0417274e-005,-0.0001461442,-3.6492285e-005,0.72579008,-0.54521257
17500250.84451,0.76613414,-0.51532149,-0.0001175835,5.9927937e-005,-7.0974102e-007,6.740752e-005,0.7243284,-0.54698211
17600254.189103,0.76388443,-0.5181005,-2.4441209e-005,4.4612345e-005,5.9499653e-005,1.8572928e-005,0.72273678,-0.54906058
17700257.533697,0.76183593,-0.52114493,-8.4196836e-005,7.1124065e-005,-9.9051422e-006,-3.163045e-005,0.72101212,-0.55093527
17800260.87829,0.7596423,-0.52390945,-0.00010953,3.068841e-005,3.2164826e-006,6.9539742e-006,0.71927088,-0.55278957
17900264.222884,0.75750089,-0.52679116,-0.0001241135,1.6879721e-005,-2.2174627e-005,7.8978745e-005,0.71757632,-0.55482548
18000267.567477,0.7553553,-0.5294016,4.7789999e-005,4.0342966e-005,1.3272979e-005,-5.7802583e-005,0.71590561,-0.55655313
18100270.912071,0.75294703,-0.53242034,4.5701916e-005,-7.7211123e-005,8.28665e-005,4.0657043e-005,0.7142691,-0.55837995
18200274.256664,0.75062215,-0.53515488,-6.9327198e-006,9.0612433e-005,-7.4487048e-007,-6.3308558e-005,0.71259004,-0.56034416
18300277.601258,0.74841577,-0.53786069,4.1375461e-005,-4.0324103e-005,4.1903382e-005,-6.6527798e-005,0.71090645,-0.56224996
18400280.945851,0.74647236,-0.54074109,0.000114876,-1.9698659e-006,4.2197669e-005,-3.8249596e-005,0.70940363,-0.56422895
18500284.290444,0.74402577,-0.54335773,3.1533735e-005,8.3503637e-006,0.0001400842,3.1105315e-005,0.70759755,-0.56600171
18600287.635038,0.74173588,-0.54627383,-4.0130417e-006,-0.0001286601,-2.3122191e-005,2.4422982e-006,0.7061013,-0.56771082
18700290.979631,0.73960453,-0.54888356,-4.011955e-005,3.5416939e-005,-2.5466115e-005,-5.425057e-005,0.70440805,-0.56959349
18800294.324225,0.73735517,-0.55182922,-2.6515827e-005,1.5359474e-005,-5.0206065e-005,2.3683409e-005,0.70244735,-0.57168925
18900297.668818,0.73517025,-0.55438179,1.3053919e-006,-0.0001058398,-2.3034929e-005,9.0972942e-005,0.70075613,-0.57337928
19000301.013412,0.7329995,-0.55725873,4.3157383e-005,6.5693559e-005,0.0001626156,0.0001064491,0.69895333,-0.57535625
19100304.358005,0.73055917,-0.55983394,4.0820346e-006,-1.5351005e-005,4.9407598e-005,7.3468946e-006,0.69730186,-0.57723391
19200307.702599,0.72856236,-0.56249988,-4.7663656e-005,1.1509494e-005,-5.7932659e-005,-4.8223705e-005,0.69529259,-0.57911801
19300311.047192,0.72622943,-0.56529009,-6.7511515e-005,-2.5445754e-005,-3.2596068e-005,6.5556233e-005,0.69358104,-0.58110446
19400314.391786,0.72387475,-0.5679478,3.314604e-005,-3.4412929e-005,1.255528e-005,-0.0001119218,0.69185263,-0.58300835
19500317.736379,0.72173208,-0.57057858,-3.443519e-005,-2.3852892e-005,-3.0891668e-005,-1.3125607e-005,0.69002283,-0.58487749
19600321.080973,0.71938556,-0.5733301,2.0385483e-005,-8.3826271e-005,1.4879274e-005,-8.8552435e-005,0.68817598,-0.58662516
19700324.425566,0.71704733,-0.57586116,-0.0001232931,-5.6106874e-005,5.0717055e-005,2.4326238e-005,0.6864925,-0.58842659
19800327.77016,0.71476555,-0.57870162,4.4496901e-005,-5.4657183e-005,-3.0688505e-005,4.6961322e-005,0.68458879,-0.5903275
19900331.114753,0.71255475,-0.58136517,7.2850904e-005,-6.0467446e-005,3.8105634e-006,-1.184627e-005,0.6826328,-0.59223807
20000334.459346,0.71017009,-0.58376557,6.3074098e-005,-5.2689622e-005,2.836605e-005,1.267655e-005,0.68079484,-0.59416097
20100337.80394,0.70797139,-0.58641374,-2.1599035e-005,2.217269e-005,2.2474749e-005,1.713336e-005,0.67910004,-0.59600234
20200341.148533,0.70549154,-0.58903146,-5.741902e-005,-2.2374266e-005,7.2071758e-005,0.0001504703,0.6773538,-0.59769809
20300344.493127,0.70332843,-0.5917455,-6.6067303e-005,2.6781268e-005,0.0001417348,-5.8040485e-005,0.67541397,-0.59950954
20400347.83772,0.70098948,-0.5941295,-8.0331542e-005,3.2832409e-005,-6.0238497e-005,-9.1052925e-006,0.67362851,-0.60126692
20500351.182314,0.69857407,-0.59677339,7.7051227e-005,-7.5340926e-005,-1.0238296e-005,-3.4673445e-005,0.67182761,-0.60315245
20600354.526907,0.69608462,-0.59922338,9.7394543e-005,-8.3144987e-005,2.1451418e-005,4.0488536e-005,0.67003226,-0.60487485
20700357.871501,0.69382459,-0.60198945,-4.1474152e-005,1.9554778e-005,0.0001119339,-6.6217755e-005,0.66813272,-0.6068362
20800361.216094,0.69152111,-0.60445243,-3.8979797e-006,1.3398948e-005,9.8651057e-005,6.6766072e-005,0.66639107,-0.60855621
20900364.560688,0.68911725,-0.60684544,3.8471971e-006,8.3730018e-005,-6.6852435e-006,-2.0380824e-006,0.66453964,-0.61040866
21000367.905281,0.68678159,-0.60937333,7.4100426e-005,4.6856072e-005,1.5384336e-005,-3.696158e-006,0.66259044,-0.6119554
21100371.249875,0.68432385,-0.61189216,7.84447e-006,6.9373513e-005,-5.8602713e-005,2.6070231e-005,0.6606493,-0.6137107
21200374.594468,0.68183649,-0.61433965,9.1952665e-005,8.6483065e-005,-6.4078151e-005,-1.2459506e-005,0.65885776,-0.61559731
21300377.939062,0.67940265,-0.61680901,4.3203076e-005,3.5122022e-005,-3.2591044e-005,-0.0001008309,0.65711385,-0.61747903
21400381.283655,0.67687702,-0.6193648,5.0016421e-005,7.3139718e-006,-8.9021123e-005,7.4666423e-005,0.65516758,-0.61905962
21500384.628248,0.67466199,-0.62172157,1.8119739e-005,-3.9846469e-005,9.7495922e-007,4.1398678e-005,0.65337849,-0.62093872
21600387.972842,0.67211705,-0.6241346,-2.2640017e-005,3.9403534e-005,-1.7890745e-005,-0.0001155216,0.65170419,-0.62244821
21700391.317435,0.66980517,-0.62668031,5.0312457e-005,-4.4602893e-005,8.1300379e-005,9.266646e-006,0.64964503,-0.62427253
21800394.662029,0.66729409,-0.6290645,-4.9956736e-005,2.0827527e-005,4.5529359e-005,2.2013992e-005,0.64816523,-0.62581253
21900398.006622,0.66475105,-0.63157237,6.2120685e-005,3.2534194e-006,-3.9614974e-005,-5.0375183e-005,0.64622962,-0.62774193
22000401.351216,0.66246158,-0.63390756,-2.6214118e-006,3.091363e-005,-7.0392816e-005,-3.6538586e-005,0.64421332,-0.62920529
22100404.695809,0.65994239,-0.63625312,-3.2974349e-005,-9.6347849e-006,3.4519104e-005,-2.0816102e-005,0.64249647,-0.63113892
22200408.040403,0.6573683,-0.63860661,-7.9507699e-005,-1.0177317e-005,4.7492846e-005,-0.000119953,0.64054638,-0.63293034
