!CSV A.01.01
!Agilent Technologies,N5227A,US51270345,A.09.80.20
!Agilent N5227A: A.09.80.20
!Date: Monday, November 26, 2018 16:04:43
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
10000000,0.90431154,-0.26786304
10100003.344593,0.90233254,-0.27169541
10200006.689187,0.90164757,-0.27583569
10300010.03378,0.90071249,-0.27980626
10400013.378374,0.89866906,-0.28330004
10500016.722967,0.8977989,-0.28678146
10600020.067561,0.89587528,-0.29070988
10700023.412154,0.89443052,-0.29426908
10800026.756748,0.89308488,-0.29777771
10900030.101341,0.89145893,-0.30173242
11000033.445935,0.88934928,-0.30538622
11100036.790528,0.88774925,-0.30903897
11200040.135122,0.886356,-0.31226757
11300043.479715,0.88461006,-0.31619078
11400046.824309,0.88323539,-0.31950268
11500050.168902,0.88124526,-0.32270408
11600053.513495,0.8796981,-0.32660294
11700056.858089,0.87822276,-0.3303327
11800060.202682,0.8761788,-0.33390903
11900063.547276,0.87445009,-0.33705547
12000066.891869,0.87276423,-0.34083539
12100070.236463,0.87129545,-0.34399945
12200073.581056,0.86903387,-0.34760606
12300076.92565,0.86746925,-0.35117647
12400080.270243,0.86520165,-0.35425869
12500083.614837,0.86337942,-0.3574549
12600086.95943,0.86141217,-0.36129162
12700090.304024,0.86001325,-0.36425284
12800093.648617,0.85802251,-0.3680537
12900096.99321,0.85600239,-0.37159896
13000100.337804,0.85509259,-0.37489659
13100103.682397,0.85263544,-0.37809417
13200107.026991,0.85057908,-0.38188854
13300110.371584,0.849002,-0.38474929
13400113.716178,0.84696615,-0.38822213
13500117.060771,0.84446156,-0.39108947
13600120.405365,0.84284872,-0.39466068
13700123.749958,0.84096378,-0.39802128
13800127.094552,0.8389942,-0.40121099
13900130.439145,0.83723491,-0.40431499
14000133.783739,0.83523661,-0.40758872
14100137.128332,0.83339894,-0.41077518
14200140.472926,0.83164245,-0.41397044
14300143.817519,0.82946342,-0.41749173
14400147.162112,0.82768577,-0.42078298
14500150.506706,0.82552636,-0.42370912
14600153.851299,0.82380795,-0.42705661
14700157.195893,0.82177705,-0.43014875
14800160.540486,0.81974053,-0.43318266
14900163.88508,0.81769454,-0.43648171
15000167.229673,0.81626236,-0.44009021
15100170.574267,0.81423378,-0.44326103
15200173.91886,0.81253749,-0.44636691
15300177.263454,0.81080812,-0.44954363
15400180.608047,0.80867267,-0.45270833
15500183.952641,0.80678499,-0.45572591
15600187.297234,0.80493826,-0.45880589
15700190.641827,0.80290133,-0.46168694
15800193.986421,0.80093789,-0.46507928
15900197.331014,0.79906112,-0.46788657
16000200.675608,0.7969349,-0.47102877
16100204.020201,0.79507554,-0.47409374
16200207.364795,0.79311013,-0.4771677
16300210.709388,0.79108936,-0.48034573
16400214.053982,0.78916246,-0.48331615
16500217.398575,0.78701842,-0.48603064
16600220.743169,0.78506148,-0.48901328
16700224.087762,0.78291285,-0.49191925
