!CSV A.01.01
!Agilent Technologies,N5227A,US51270345,A.09.80.20
!Agilent N5227A: A.09.80.20
!Date: Monday, November 26, 2018 15:58:05
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
10000000,0.90865052,-0.25623599
10100003.344593,0.90750682,-0.26018226
10200006.689187,0.90598458,-0.26433489
10300010.03378,0.90468556,-0.26808015
10400013.378374,0.90313798,-0.27156454
10500016.722967,0.90182537,-0.27507439
10600020.067561,0.90081543,-0.27886331
10700023.412154,0.89971972,-0.28274071
10800026.756748,0.89836609,-0.28635958
10900030.101341,0.89683479,-0.29012021
11000033.445935,0.89479047,-0.29352006
11100036.790528,0.89354295,-0.29698059
11200040.135122,0.89192736,-0.30038336
11300043.479715,0.89038122,-0.30331963
11400046.824309,0.88923019,-0.3080391
11500050.168902,0.8872959,-0.31119341
11600053.513495,0.88568377,-0.31469077
11700056.858089,0.88421655,-0.31794631
11800060.202682,0.88238686,-0.32159317
11900063.547276,0.8809799,-0.32512286
12000066.891869,0.87890798,-0.3285324
12100070.236463,0.87724423,-0.33173233
12200073.581056,0.87589264,-0.33493906
12300076.92565,0.87373972,-0.33851743
12400080.270243,0.87196004,-0.34213585
12500083.614837,0.87014699,-0.34528679
12600086.95943,0.86837971,-0.34868643
12700090.304024,0.86687452,-0.35214603
12800093.648617,0.86498946,-0.35556048
12900096.99321,0.86324596,-0.35889417
13000100.337804,0.86165601,-0.36226541
13100103.682397,0.85986865,-0.36561605
13200107.026991,0.85794806,-0.36879161
13300110.371584,0.85622501,-0.3720471
13400113.716178,0.85422915,-0.37536716
13500117.060771,0.85253268,-0.37859103
13600120.405365,0.85098505,-0.38164055
13700123.749958,0.84883797,-0.38517421
13800127.094552,0.84694159,-0.38833654
13900130.439145,0.84529328,-0.39152294
14000133.783739,0.84338993,-0.39472663
14100137.128332,0.84163433,-0.39835787
14200140.472926,0.83966833,-0.40130407
14300143.817519,0.83789921,-0.40435582
14400147.162112,0.83623779,-0.40745437
14500150.506706,0.83434433,-0.41080642
14600153.851299,0.83213931,-0.41377434
14700157.195893,0.83071077,-0.41713753
14800160.540486,0.82869029,-0.42019913
14900163.88508,0.82654345,-0.42337334
15000167.229673,0.82525498,-0.42689607
15100170.574267,0.82344186,-0.42994186
15200173.91886,0.82173485,-0.43304446
15300177.263454,0.81995976,-0.43587968
15400180.608047,0.8177774,-0.4393138
15500183.952641,0.81610096,-0.44227013
15600187.297234,0.81447607,-0.44539031
15700190.641827,0.81253123,-0.44836125
15800193.986421,0.81073987,-0.45147589
15900197.331014,0.80889791,-0.45421505
16000200.675608,0.80694342,-0.45736545
16100204.020201,0.80511123,-0.46027267
16200207.364795,0.80318081,-0.4635008
16300210.709388,0.80112869,-0.46646452
16400214.053982,0.79936618,-0.46945217
16500217.398575,0.79744655,-0.47235161
16600220.743169,0.79574001,-0.4753128
16700224.087762,0.79352105,-0.47838134
16800227.432356,0.79153854,-0.48114303
16900230.776949,0.78954482,-0.48413163
17000234.121543,0.78753752,-0.48693368
17100237.466136,0.78570271,-0.48978803
17200240.810729,0.78368616,-0.49284554
17300244.155323,0.78171402,-0.49554184
17400247.499916,0.77961302,-0.49842522
17500250.84451,0.77771389,-0.50116718
17600254.189103,0.77561033,-0.50415802
17700257.533697,0.77343476,-0.50694543
17800260.87829,0.77122378,-0.50979131
17900264.222884,0.76923656,-0.51263446
18000267.567477,0.76701289,-0.51539057
18100270.912071,0.76503772,-0.5181936
18200274.256664,0.76277643,-0.52118444
18300277.601258,0.76065928,-0.52368128
18400280.945851,0.75858933,-0.52629274
18500284.290444,0.75659168,-0.52918923
18600287.635038,0.75423861,-0.53187215
18700290.979631,0.75229502,-0.53480166
18800294.324225,0.75006133,-0.53749484
18900297.668818,0.74802893,-0.5400793
19000301.013412,0.74579406,-0.54296613
19100304.358005,0.74355334,-0.54546225
19200307.702599,0.74174404,-0.54818171
19300311.047192,0.73937237,-0.55077082
19400314.391786,0.73730433,-0.55366355
19500317.736379,0.73510903,-0.55632228
19600321.080973,0.73291862,-0.5588212
19700324.425566,0.73074877,-0.5614894
19800327.77016,0.7287662,-0.56413752
19900331.114753,0.7265088,-0.5668267
20000334.459346,0.72399843,-0.56936634
20100337.80394,0.72202098,-0.57207221
20200341.148533,0.71968865,-0.57451212
20300344.493127,0.7174806,-0.57697773
20400347.83772,0.71535069,-0.57948947
20500351.182314,0.7131409,-0.58222473
20600354.526907,0.71088868,-0.58484256
20700357.871501,0.70850015,-0.58723348
20800361.216094,0.70617592,-0.58999163
20900364.560688,0.7039789,-0.59237868
21000367.905281,0.70177639,-0.594827
21100371.249875,0.69948345,-0.59731597
21200374.594468,0.69715601,-0.5997172
21300377.939062,0.69474411,-0.60214418
21400381.283655,0.69249314,-0.60481066
21500384.628248,0.69018483,-0.60714889
21600387.972842,0.68787837,-0.60968828
21700391.317435,0.68560803,-0.6119163
21800394.662029,0.68315971,-0.61439055
21900398.006622,0.68087989,-0.61674166
22000401.351216,0.67851561,-0.61928517
22100404.695809,0.67627007,-0.6216321
22200408.040403,0.67373061,-0.62389374
22300411.384996,0.6713407,-0.62630773
22400414.72959,0.66907144,-0.62871933
22500418.074183,0.66649967,-0.63094914
22600421.418777,0.66420472,-0.63343495
22700424.76337,0.66188902,-0.63578254
22800428.107963,0.65957552,-0.63811362
22900431.452557,0.65728486,-0.64027846
23000434.79715,0.65490806,-0.64270741
23100438.141744,0.65238076,-0.64488667
23200441.486337,0.65007442,-0.64714801
23300444.830931,0.64777279,-0.64949524
23400448.175524,0.64539832,-0.65165454
23500451.520118,0.64313853,-0.65389919
23600454.864711,0.64060789,-0.6560564
23700458.209305,0.63826656,-0.65827233
23800461.553898,0.63589233,-0.66056806
23900464.898492,0.63338065,-0.66266584
24000468.243085,0.63108957,-0.66496098
24100471.587679,0.62847298,-0.66705871
24200474.932272,0.62634522,-0.66929096
24300478.276865,0.62370414,-0.67152578
24400481.621459,0.62134957,-0.67364579
24500484.966052,0.61880076,-0.67572838
24600488.310646,0.61641389,-0.67793387
24700491.655239,0.61399436,-0.6800102
24800494.999833,0.61156183,-0.68213999
24900498.344426,0.60914308,-0.68408477
25000501.68902,0.60650694,-0.68640018
25100505.033613,0.60400248,-0.68851763
25200508.378207,0.6015985,-0.69051307
25300511.7228,0.59914196,-0.69260526
25400515.067394,0.59660995,-0.69463509
25500518.411987,0.59420055,-0.69672257
25600521.75658,0.59165847,-0.69887108
25700525.101174,0.58916187,-0.70088035
25800528.445767,0.58668202,-0.70287377
25900531.790361,0.58397198,-0.70486504
26000535.134954,0.58154851,-0.70684195
26100538.479548,0.57912314,-0.70889974
26200541.824141,0.57664579,-0.71092367
26300545.168735,0.57400101,-0.71283758
26400548.513328,0.57143062,-0.71483576
26500551.857922,0.56889272,-0.71675861
26600555.202515,0.5663476,-0.71856505
26700558.547109,0.56375396,-0.72059995
26800561.891702,0.56121147,-0.72243404
26900565.236296,0.55867994,-0.72440678
27000568.580889,0.5561555,-0.72623396
27100571.925482,0.55354589,-0.72799492
27200575.270076,0.55097038,-0.72989917
27300578.614669,0.54838836,-0.73172992
27400581.959263,0.54585212,-0.7336641
27500585.303856,0.54320645,-0.73548645
27600588.64845,0.54065704,-0.73730505
27700591.993043,0.53808683,-0.73914355
27800595.337637,0.53544199,-0.74097252
27900598.68223,0.53282702,-0.74271035
28000602.026824,0.53025156,-0.74453706
28100605.371417,0.52759737,-0.74630803
28200608.716011,0.52504277,-0.74809819
28300612.060604,0.52243084,-0.74986672
28400615.405197,0.51983798,-0.75170559
28500618.749791,0.51709235,-0.75335962
28600622.094384,0.51437622,-0.75498646
28700625.438978,0.51174545,-0.75677967
28800628.783571,0.50910097,-0.75850832
28900632.128165,0.50645214,-0.76018345
29000635.472758,0.50375104,-0.76200652
29100638.817352,0.50107276,-0.76368058
29200642.161945,0.49840668,-0.76534331
29300645.506539,0.49589571,-0.76706374
29400648.851132,0.49309006,-0.76870924
29500652.195726,0.49049139,-0.7704435
29600655.540319,0.487737,-0.77201271
29700658.884913,0.48498631,-0.77364331
29800662.229506,0.48228326,-0.77533078
29900665.574099,0.47962883,-0.77693689
30000668.918693,0.47680619,-0.77892971
30100672.263286,0.47410724,-0.78052938
30200675.60788,0.47136277,-0.78205723
30300678.952473,0.46874097,-0.7835753
30400682.297067,0.46597323,-0.78513139
30500685.64166,0.46323657,-0.78656423
30600688.986254,0.46053591,-0.78813589
30700692.330847,0.45771062,-0.78954631
30800695.675441,0.45508033,-0.79101813
30900699.020034,0.45229599,-0.7925272
31000702.364628,0.44946328,-0.7939629
31100705.709221,0.44682699,-0.7954573
31200709.053815,0.44399014,-0.79682237
31300712.398408,0.44125357,-0.79826564
31400715.743001,0.43855098,-0.79968899
31500719.087595,0.43565387,-0.80104524
31600722.432188,0.43305138,-0.80244792
31700725.776782,0.43018353,-0.80386931
31800729.121375,0.42747626,-0.80523497
31900732.465969,0.42464399,-0.80675101
32000735.810562,0.42179722,-0.80802464
32100739.155156,0.41915521,-0.80939937
32200742.499749,0.41615087,-0.81073952
32300745.844343,0.41344985,-0.81212509
32400749.188936,0.41068387,-0.81338835
32500752.53353,0.40789795,-0.81470263
32600755.878123,0.40497765,-0.81602985
32700759.222716,0.40224591,-0.81737202
32800762.56731,0.39945108,-0.8186512
32900765.911903,0.39660975,-0.81990659
33000769.256497,0.39387316,-0.82126421
33100772.60109,0.39110726,-0.82244277
33200775.945684,0.38824126,-0.82369024
33300779.290277,0.38531458,-0.82499689
33400782.634871,0.38248909,-0.826294
33500785.979464,0.37972316,-0.82744288
33600789.324058,0.37691993,-0.82875705
33700792.668651,0.3740088,-0.82993656
33800796.013245,0.3711769,-0.83111417
33900799.357838,0.36826944,-0.83235294
34000802.702432,0.36546946,-0.83351713
34100806.047025,0.36260581,-0.83473134
34200809.391618,0.35982698,-0.83586019
34300812.736212,0.35692236,-0.83708751
34400816.080805,0.35400066,-0.83811045
34500819.425399,0.35120937,-0.8393147
34600822.769992,0.34832063,-0.84046453
34700826.114586,0.34538966,-0.84155035
34800829.459179,0.34250417,-0.84275603
34900832.803773,0.339587,-0.84381336
35000836.148366,0.33675689,-0.84496737
35100839.49296,0.33391374,-0.84603018
35200842.837553,0.33101285,-0.84712696
35300846.182147,0.32810763,-0.8481608
35400849.52674,0.32511276,-0.8492772
35500852.871333,0.32234511,-0.85035002
35600856.215927,0.31938881,-0.85124183
35700859.56052,0.31651521,-0.85241389
35800862.905114,0.31358486,-0.85341352
35900866.249707,0.3106949,-0.85439426
36000869.594301,0.30781156,-0.85536146
36100872.938894,0.30495492,-0.85642558
36200876.283488,0.30198944,-0.85745847
36300879.628081,0.29907075,-0.8584308
36400882.972675,0.29612234,-0.85943753
36500886.317268,0.29315308,-0.86034393
36600889.661862,0.29023537,-0.86132818
36700893.006455,0.28723598,-0.86223048
36800896.351049,0.28427756,-0.86326003
36900899.695642,0.28136706,-0.86419147
37000903.040235,0.27848268,-0.86508948
37100906.384829,0.27541274,-0.86601126
37200909.729422,0.27255228,-0.86695933
37300913.074016,0.26956725,-0.86784613
37400916.418609,0.26661131,-0.86864233
37500919.763203,0.2635828,-0.86954725
37600923.107796,0.26067084,-0.87039173
37700926.45239,0.25774124,-0.87131095
37800929.796983,0.25472718,-0.87218052
37900933.141577,0.2517356,-0.8729862
38000936.48617,0.2487316,-0.873748
38100939.830764,0.2458529,-0.87459552
38200943.175357,0.24281274,-0.87529635
38300946.51995,0.23980601,-0.87611353
38400949.864544,0.23680122,-0.87694407
38500953.209137,0.23384359,-0.87777776
38600956.553731,0.2308604,-0.87857765
38700959.898324,0.22785495,-0.87930644
38800963.242918,0.22489902,-0.88003325
38900966.587511,0.22186379,-0.88079858
39000969.932105,0.21887353,-0.8815468
39100973.276698,0.21580203,-0.88227475
39200976.621292,0.21284293,-0.88296252
39300979.965885,0.2098344,-0.88365114
39400983.310479,0.20678002,-0.88441259
39500986.655072,0.20377496,-0.88507932
39600989.999666,0.20073396,-0.88571298
39700993.344259,0.19779153,-0.88632554
39800996.688852,0.19470386,-0.88705474
39901000.033446,0.19170696,-0.88768333
