!CSV A.01.01,,,,,,,,
!Agilent Technologies,N5227A,US51270345,A.09.80.20,,,,,
!Agilent N5227A: A.09.80.20,,,,,,,,
!Date: Monday, November 26, 2018 15:55:47,,,,,,
!Source: Standard,,,,,,,,
!,,,,,,,,
!BEGIN CH1_DATA,,,,,,,,
!Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
10000000,0.99997973,-0.011225596,0.0001502576,7.2415038e-005,6.5023727e-005,-0.000130562,1.0002437,-0.009536583
10100003.344593,1.0007395,-0.011248981,-0.0001469694,0.0002421472,-0.0002116908,-6.2719111e-005,0.99975884,-0.010960223
10200006.689187,1.0006193,-0.011594356,-0.0001096939,5.0556093e-005,-0.000146654,0.0001800129,0.99965,-0.010411592
10300010.03378,1.000015,-0.011494989,-9.9327162e-006,0.0003223443,-0.0001096536,0.0001252651,0.99960071,-0.010512538
10400013.378374,0.99990612,-0.011060637,-8.351454e-005,-0.0001056761,-0.0002865348,0.0002716667,1.0003992,-0.010369045
10500016.722967,1.0005293,-0.011273628,9.1250615e-005,-1.8500214e-005,0.0002918994,-6.5728811e-005,0.99975115,-0.011062299
10600020.067561,0.9998138,-0.01197281,8.4659463e-005,-0.0001097281,-2.9155104e-005,7.4687116e-005,1.0001366,-0.010834244
10700023.412154,0.99996299,-0.011695368,7.5793505e-005,0.0001657473,-6.917071e-005,0.0001190102,0.9997561,-0.011439467
10800026.756748,1.0001215,-0.011751962,0.0001808129,-7.4360578e-005,-1.078194e-005,-0.0002404636,1.0006374,-0.011231421
10900030.101341,1.0003029,-0.012394735,-0.0001457033,3.5958103e-005,1.0227122e-005,-0.0002582671,0.99974507,-0.011659858
11000033.445935,0.999722,-0.011767578,0.0001048099,-0.000270991,-9.612611e-005,0.0001736432,0.99970162,-0.011405341
11100036.790528,1.0000612,-0.012447744,-0.000159189,-0.000211508,3.9280651e-005,0.0001008995,1.0001528,-0.011609809
11200040.135122,1.0000938,-0.012286429,6.5915832e-005,3.1679509e-005,-0.0003048599,0.0001406389,0.99974418,-0.011856407
11300043.479715,0.99914235,-0.012465379,5.3753985e-005,2.3864144e-005,-0.0003786836,2.8841449e-005,0.99984407,-0.012001686
11400046.824309,0.99985826,-0.012419609,7.1774244e-005,-9.3014176e-005,7.1904527e-005,-0.0001977406,0.99981368,-0.011495431
11500050.168902,0.99976969,-0.012744825,-8.266748e-005,2.4309524e-005,-0.0002467995,-0.0002258419,0.99975586,-0.012585016
11600053.513495,0.9996143,-0.012994771,-7.779459e-005,-0.000159836,-0.0001904938,0.00037507,0.99944651,-0.011899069
11700056.858089,1.0000455,-0.01296241,8.1607977e-005,0.0001963512,0.0003169852,0.0001525369,0.99970394,-0.011842254
11800060.202682,0.99982929,-0.013025887,-8.8713794e-005,-0.0001590636,6.7246492e-006,6.9670234e-005,1.0000094,-0.011961258
11900063.547276,0.99960631,-0.013358179,-0.0001300045,-0.0001159818,7.229238e-005,0.0003223233,0.99975193,-0.012596864
12000066.891869,0.99976116,-0.01347706,0.0001504392,-0.0001846302,8.7404092e-005,0.0001000298,0.99978834,-0.012032214
