!CSV A.01.01
!Agilent Technologies,N5227A,US51270345,A.09.80.20
!Agilent N5227A: A.09.80.20
!Date: Monday, November 26, 2018 16:00:10
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(REAL),S22(IMAG)
10000000,0.8294456,-0.39201108
10100003.344593,0.82867736,-0.39401993
10200006.689187,0.82725626,-0.39586127
10300010.03378,0.82575828,-0.39813784
10400013.378374,0.8248868,-0.40052384
10500016.722967,0.82345158,-0.40279621
10600020.067561,0.82261109,-0.40480712
10700023.412154,0.82133836,-0.40667483
10800026.756748,0.81985795,-0.40912625
10900030.101341,0.8186779,-0.4112516
11000033.445935,0.81778902,-0.41327396
11100036.790528,0.81660211,-0.41547903
11200040.135122,0.81562412,-0.41729063
11300043.479715,0.81447577,-0.41963813
11400046.824309,0.81350869,-0.42152688
11500050.168902,0.81160748,-0.42352411
11600053.513495,0.81068724,-0.4256638
11700056.858089,0.80933684,-0.42781985
11800060.202682,0.80813462,-0.42995703
11900063.547276,0.8073501,-0.43199283
12000066.891869,0.80575234,-0.43430644
12100070.236463,0.80497849,-0.43590549
12200073.581056,0.80375725,-0.43801779
12300076.92565,0.80265713,-0.44027367
12400080.270243,0.8013764,-0.44229832
12500083.614837,0.8003087,-0.44400507
12600086.95943,0.79897273,-0.44631246
12700090.304024,0.79784691,-0.44846356
12800093.648617,0.79664004,-0.45046026
12900096.99321,0.79507834,-0.45282823
13000100.337804,0.79404962,-0.45438737
13100103.682397,0.79304326,-0.45667878
13200107.026991,0.79152495,-0.45869011
13300110.371584,0.78987736,-0.46073431
13400113.716178,0.78895688,-0.46275476
13500117.060771,0.78757679,-0.46458191
13600120.405365,0.7865479,-0.46662861
13700123.749958,0.78526449,-0.46845037
13800127.094552,0.78400052,-0.47060081
13900130.439145,0.78257912,-0.47286996
14000133.783739,0.78118831,-0.47466877
14100137.128332,0.77946615,-0.47660324
14200140.472926,0.77848446,-0.47869137
14300143.817519,0.77688211,-0.48054883
14400147.162112,0.77532947,-0.48244458
14500150.506706,0.7739464,-0.48482534
14600153.851299,0.77298665,-0.48655012
14700157.195893,0.77113646,-0.48865381
14800160.540486,0.76990467,-0.4907048
14900163.88508,0.76855415,-0.49260941
15000167.229673,0.76695865,-0.49426258
15100170.574267,0.7655344,-0.49647593
15200173.91886,0.76409602,-0.49828273
15300177.263454,0.76252097,-0.50041497
15400180.608047,0.76085877,-0.50247979
15500183.952641,0.75903863,-0.50467247
15600187.297234,0.7576527,-0.50674486
