!CSV A.01.01
!Agilent Technologies,N5227A,US51270345,A.09.80.20
!Agilent N5227A: A.09.80.20
!Date: Monday, November 26, 2018 15:59:11
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
10000000,0.90694159,-0.2622394
10100003.344593,0.90449357,-0.26596823
10200006.689187,0.90414029,-0.26998848
10300010.03378,0.90261638,-0.27380702
10400013.378374,0.90101779,-0.27730393
10500016.722967,0.89991057,-0.28131947
10600020.067561,0.89848155,-0.28488156
10700023.412154,0.89715511,-0.28853041
10800026.756748,0.89531338,-0.2917369
10900030.101341,0.89402074,-0.29537421
11000033.445935,0.89221925,-0.29910687
11100036.790528,0.89059496,-0.30301815
11200040.135122,0.88922578,-0.30634212
11300043.479715,0.88745362,-0.31009561
11400046.824309,0.88580894,-0.31334323
11500050.168902,0.88404584,-0.31729177
11600053.513495,0.88278955,-0.32048213
11700056.858089,0.88117975,-0.32395941
11800060.202682,0.87922442,-0.32750896
11900063.547276,0.87781143,-0.33107495
12000066.891869,0.87590283,-0.33461609
12100070.236463,0.87388545,-0.33798456
12200073.581056,0.87248778,-0.34156659
12300076.92565,0.87060332,-0.34474987
12400080.270243,0.86863011,-0.34816772
12500083.614837,0.86708581,-0.35131419
12600086.95943,0.86502522,-0.3547048
12700090.304024,0.86317754,-0.35881659
12800093.648617,0.86161315,-0.36173093
12900096.99321,0.85957646,-0.36503556
13000100.337804,0.85780537,-0.368366
13100103.682397,0.85624212,-0.37189054
13200107.026991,0.85421854,-0.37515569
13300110.371584,0.85255527,-0.37849665
13400113.716178,0.85075098,-0.38183454
13500117.060771,0.84871495,-0.38491493
13600120.405365,0.84676343,-0.38852403
13700123.749958,0.84514403,-0.3914808
13800127.094552,0.84279305,-0.39479792
13900130.439145,0.84120768,-0.39821276
14000133.783739,0.83937943,-0.40136611
14100137.128332,0.83755791,-0.40472233
14200140.472926,0.83566552,-0.4080036
14300143.817519,0.83370769,-0.41110736
14400147.162112,0.83175361,-0.41424397
14500150.506706,0.83005279,-0.41768286
14600153.851299,0.82801431,-0.42062899
14700157.195893,0.82603019,-0.42371753
14800160.540486,0.82435602,-0.42708856
14900163.88508,0.82217455,-0.43003425
15000167.229673,0.82062238,-0.43368432
15100170.574267,0.81883919,-0.43674839
15200173.91886,0.8169477,-0.43980992
15300177.263454,0.81541038,-0.44314328
15400180.608047,0.81343758,-0.44619304
15500183.952641,0.81142825,-0.44921115
15600187.297234,0.80970711,-0.45232517
15700190.641827,0.80794817,-0.45553929
15800193.986421,0.80596024,-0.45849043
15900197.331014,0.80417866,-0.46155426
16000200.675608,0.80187732,-0.46458817
16100204.020201,0.80000383,-0.46736416
16200207.364795,0.79819691,-0.47063512
16300210.709388,0.79607522,-0.47346112
16400214.053982,0.79425627,-0.47675997
16500217.398575,0.79210442,-0.47939831
16600220.743169,0.79013681,-0.48248136
16700224.087762,0.78821534,-0.48545623
16800227.432356,0.78603905,-0.48820972
16900230.776949,0.78403771,-0.49127999
17000234.121543,0.78215259,-0.49430954
17100237.466136,0.77985358,-0.49722129
17200240.810729,0.77814811,-0.50000697
17300244.155323,0.77586728,-0.50298196
17400247.499916,0.77370471,-0.50586629
17500250.84451,0.77158594,-0.5086301
17600254.189103,0.76944339,-0.51189256
17700257.533697,0.76758277,-0.51447511
17800260.87829,0.76556748,-0.51739556
17900264.222884,0.76318443,-0.52009147
18000267.567477,0.76126641,-0.52293593
18100270.912071,0.75873435,-0.52582419
18200274.256664,0.7566731,-0.52831924
18300277.601258,0.75437623,-0.53137428
18400280.945851,0.75234085,-0.53406036
18500284.290444,0.75008202,-0.53697503
18600287.635038,0.74779987,-0.53953189
18700290.979631,0.74566805,-0.54219794
18800294.324225,0.74354511,-0.54515475
18900297.668818,0.74123883,-0.54782867
19000301.013412,0.7391547,-0.5504902
19100304.358005,0.73690373,-0.55312365
19200307.702599,0.73478901,-0.55586058
19300311.047192,0.7326026,-0.55864537
19400314.391786,0.73058343,-0.56104434
19500317.736379,0.72822142,-0.56380898
19600321.080973,0.72601664,-0.56642777
19700324.425566,0.72382605,-0.56913799
19800327.77016,0.72151351,-0.57187253
19900331.114753,0.71910483,-0.57446969
20000334.459346,0.71675903,-0.5773077
20100337.80394,0.71474153,-0.57973778
20200341.148533,0.71245772,-0.58223879
20300344.493127,0.71011698,-0.58490068
20400347.83772,0.70791185,-0.58742571
20500351.182314,0.70541745,-0.59006011
20600354.526907,0.70317304,-0.59259361
20700357.871501,0.70076412,-0.59494424
20800361.216094,0.69870901,-0.59765077
20900364.560688,0.69630659,-0.60024422
21000367.905281,0.69383633,-0.60257244
21100371.249875,0.69145429,-0.60508245
21200374.594468,0.68920672,-0.60757512
21300377.939062,0.68667305,-0.61002195
21400381.283655,0.68444765,-0.61259139
21500384.628248,0.6821112,-0.61491573
21600387.972842,0.6797626,-0.61743379
21700391.317435,0.67733699,-0.61994714
21800394.662029,0.67488486,-0.62219018
21900398.006622,0.67245114,-0.62466478
22000401.351216,0.66994458,-0.62703705
22100404.695809,0.66759318,-0.62954634
22200408.040403,0.66528469,-0.63192868
22300411.384996,0.66281366,-0.63434678
22400414.72959,0.66014546,-0.63663948
22500418.074183,0.65784901,-0.63910049
22600421.418777,0.65540117,-0.64133948
22700424.76337,0.65307063,-0.64375407
22800428.107963,0.65063459,-0.6460591
22900431.452557,0.64809257,-0.64844054
23000434.79715,0.64596373,-0.65064585
23100438.141744,0.64340186,-0.6527794
23200441.486337,0.64090919,-0.6550442
23300444.830931,0.63858122,-0.65723246
23400448.175524,0.63611251,-0.65952343
23500451.520118,0.63364685,-0.66168743
23600454.864711,0.63109785,-0.66405058
23700458.209305,0.62870497,-0.66613799
23800461.553898,0.62626851,-0.66848874
23900464.898492,0.62388963,-0.67081749
24000468.243085,0.62135732,-0.67293972
24100471.587679,0.61877036,-0.67504984
24200474.932272,0.61635512,-0.67722458
24300478.276865,0.61395997,-0.679304
24400481.621459,0.61130881,-0.68160164
24500484.966052,0.60876691,-0.68358731
24600488.310646,0.60621071,-0.68574691
24700491.655239,0.60366541,-0.68800932
24800494.999833,0.60127074,-0.6899814
24900498.344426,0.59867364,-0.69212133
25000501.68902,0.59621733,-0.69427007
25100505.033613,0.59377789,-0.69640034
25200508.378207,0.59111094,-0.69837344
25300511.7228,0.58856171,-0.70054221
25400515.067394,0.58609843,-0.70258707
25500518.411987,0.5834558,-0.70469147
25600521.75658,0.58092916,-0.70665258
25700525.101174,0.57839131,-0.70873851
25800528.445767,0.5757283,-0.71072292
25900531.790361,0.57323194,-0.71261328
26000535.134954,0.57062811,-0.71479863
26100538.479548,0.56809694,-0.7167238
26200541.824141,0.56548601,-0.71863681
26300545.168735,0.56288397,-0.72070318
26400548.513328,0.56024748,-0.72255725
26500551.857922,0.55760807,-0.72446752
26600555.202515,0.55508476,-0.7263813
26700558.547109,0.55240023,-0.72824568
26800561.891702,0.54974025,-0.73029292
26900565.236296,0.54724568,-0.73206645
27000568.580889,0.54447395,-0.73390132
27100571.925482,0.54192084,-0.73584127
27200575.270076,0.53933656,-0.73762268
27300578.614669,0.53670079,-0.73947561
27400581.959263,0.53402585,-0.74131823
27500585.303856,0.53133774,-0.74314362
27600588.64845,0.52863693,-0.74497432
27700591.993043,0.52591854,-0.74682671
27800595.337637,0.52321744,-0.748568
27900598.68223,0.52064681,-0.75036973
28000602.026824,0.5178836,-0.75205243
28100605.371417,0.51537555,-0.75393444
28200608.716011,0.51256722,-0.75568569
28300612.060604,0.5098567,-0.75733709
28400615.405197,0.5071885,-0.75912404
28500618.749791,0.50448859,-0.76090515
28600622.094384,0.50176311,-0.76260144
28700625.438978,0.49902251,-0.76433349
28800628.783571,0.49629688,-0.765917
28900632.128165,0.49362913,-0.76778108
29000635.472758,0.49092278,-0.76944733
29100638.817352,0.48815584,-0.77111942
29200642.161945,0.48548141,-0.77269918
29300645.506539,0.48263344,-0.77446532
29400648.851132,0.47988218,-0.77605253
29500652.195726,0.47714937,-0.77778596
29600655.540319,0.47441858,-0.77935588
29700658.884913,0.47162861,-0.78106564
29800662.229506,0.46877474,-0.78254956
29900665.574099,0.4660905,-0.78413266
30000668.918693,0.46318108,-0.7861768
30100672.263286,0.46048927,-0.78760201
30200675.60788,0.45761415,-0.78918731
30300678.952473,0.45486319,-0.79075259
30400682.297067,0.45209578,-0.79223514
30500685.64166,0.44935429,-0.79364538
30600688.986254,0.44653422,-0.79513806
30700692.330847,0.44376677,-0.7967037
30800695.675441,0.44084239,-0.79816329
30900699.020034,0.4380841,-0.79958791
31000702.364628,0.4353174,-0.80094963
31100705.709221,0.43253979,-0.80250478
31200709.053815,0.42963299,-0.80387491
31300712.398408,0.42692631,-0.80524808
31400715.743001,0.42405578,-0.80676383
31500719.087595,0.42113829,-0.80804598
31600722.432188,0.4183265,-0.80944031
31700725.776782,0.41549307,-0.81079113
31800729.121375,0.41263926,-0.81214148
31900732.465969,0.40979385,-0.81353104
32000735.810562,0.40698755,-0.81480169
32100739.155156,0.40410343,-0.81612647
32200742.499749,0.40121257,-0.81754422
32300745.844343,0.39833909,-0.81868881
32400749.188936,0.39552766,-0.82012498
32500752.53353,0.39277762,-0.82145149
32600755.878123,0.38981944,-0.82268822
32700759.222716,0.38693607,-0.82390505
32800762.56731,0.3840372,-0.82525188
32900765.911903,0.3811748,-0.82658124
33000769.256497,0.37824854,-0.82776928
33100772.60109,0.375375,-0.82893026
33200775.945684,0.3725844,-0.83016056
33300779.290277,0.36970171,-0.83152598
33400782.634871,0.36674044,-0.83262831
33500785.979464,0.36378571,-0.83387727
33600789.324058,0.36094439,-0.83503002
33700792.668651,0.35800621,-0.8361693
33800796.013245,0.35510281,-0.83733237
33900799.357838,0.35222757,-0.8386004
34000802.702432,0.349273,-0.83972591
34100806.047025,0.34641361,-0.84083503
34200809.391618,0.34343258,-0.84194541
34300812.736212,0.34047386,-0.84320962
34400816.080805,0.33755654,-0.84423035
34500819.425399,0.33466637,-0.84533006
34600822.769992,0.3317292,-0.84649128
34700826.114586,0.32872361,-0.84758019
34800829.459179,0.32582399,-0.84852511
34900832.803773,0.32277596,-0.84963483
35000836.148366,0.31995687,-0.85079992
35100839.49296,0.31691635,-0.85183346
35200842.837553,0.31400716,-0.85281724
35300846.182147,0.31103826,-0.85386461
35400849.52674,0.3081342,-0.85488003
35500852.871333,0.30510649,-0.85595489
35600856.215927,0.302104,-0.856942
35700859.56052,0.29921687,-0.85798413
35800862.905114,0.29627684,-0.85893387
35900866.249707,0.29328844,-0.85993296
36000869.594301,0.29026023,-0.86090231
36100872.938894,0.28733733,-0.86184531
36200876.283488,0.28430405,-0.86278248
36300879.628081,0.28137714,-0.86377716
36400882.972675,0.27843395,-0.8646543
36500886.317268,0.27534121,-0.86556387
36600889.661862,0.27239755,-0.86662799
36700893.006455,0.26930255,-0.8674534
36800896.351049,0.26628235,-0.86843926
36900899.695642,0.26330391,-0.86922985
37000903.040235,0.26030394,-0.87004459
37100906.384829,0.25731105,-0.87096822
37200909.729422,0.25426245,-0.87183797
37300913.074016,0.25127605,-0.872536
37400916.418609,0.24822842,-0.87350267
37500919.763203,0.24507013,-0.8743059
37600923.107796,0.24212447,-0.87512201
37700926.45239,0.23908624,-0.87596375
37800929.796983,0.2361193,-0.87674093
37900933.141577,0.23306869,-0.87752038
38000936.48617,0.23002303,-0.87832081
38100939.830764,0.2269823,-0.87909025
38200943.175357,0.22386771,-0.87984103
38300946.51995,0.22088084,-0.8805939
38400949.864544,0.21785979,-0.88134444
38500953.209137,0.21474998,-0.88204867
38600956.553731,0.21172006,-0.88280737
38700959.898324,0.20866859,-0.88356334
38800963.242918,0.20557155,-0.8842358
38900966.587511,0.20249398,-0.88488203
39000969.932105,0.19943844,-0.88560289
39100973.276698,0.1964328,-0.8862263
39200976.621292,0.19329913,-0.88694119
39300979.965885,0.19023956,-0.88759172
39400983.310479,0.18715973,-0.88824832
39500986.655072,0.18407209,-0.88883781
39600989.999666,0.18101093,-0.88944429
39700993.344259,0.17787427,-0.89013451
39800996.688852,0.17484681,-0.89075482
39901000.033446,0.17167626,-0.89135259
40001003.378039,0.16863397,-0.89189637
40101006.722633,0.16550519,-0.89249855
40201010.067226,0.16240707,-0.89303678
40301013.41182,0.15931199,-0.89358276
40401016.756413,0.15623911,-0.8940832
40501020.101007,0.15316625,-0.89467704
40601023.4456,0.14997211,-0.8951658
40701026.790194,0.14683138,-0.89574105
40801030.134787,0.14372274,-0.89615804
40901033.479381,0.14066869,-0.89675963
41001036.823974,0.13753298,-0.89727807
41101040.168568,0.13437395,-0.89770466
41201043.513161,0.13124581,-0.89820194
41301046.857754,0.12809384,-0.89865595
41401050.202348,0.1250127,-0.89913696
41501053.546941,0.12186284,-0.89953369
41601056.891535,0.11882009,-0.89991927
41701060.236128,0.11564793,-0.90036553
41801063.580722,0.11255401,-0.90068012
41901066.925315,0.10941315,-0.90105444
42001070.269909,0.1063483,-0.90137315
42101073.614502,0.10322244,-0.90175587
42201076.959096,0.10009474,-0.90210384
42301080.303689,0.096989021,-0.90241003
42401083.648283,0.093865,-0.90271986
42501086.992876,0.090734318,-0.90302938
42601090.337469,0.087566026,-0.90340078
42701093.682063,0.084478781,-0.9035846
42801097.026656,0.08134675,-0.903943
42901100.37125,0.078163818,-0.90415621
43001103.715843,0.075111233,-0.90441447
43101107.060437,0.071948394,-0.90457457
43201110.40503,0.0688584,-0.90490925
43301113.749624,0.065708198,-0.90509045
43401117.094217,0.062585026,-0.90533555
43501120.438811,0.059369635,-0.90553856
43601123.783404,0.056302648,-0.90573561
43701127.127998,0.053224184,-0.90588707
43801130.472591,0.05006155,-0.90608764
43901133.817185,0.046914879,-0.90619868
44001137.161778,0.043768805,-0.90638262
44101140.506371,0.0406662,-0.90648717
44201143.850965,0.037529353,-0.90672934
44301147.195558,0.034383893,-0.90674752
44401150.540152,0.031248044,-0.90685976
44501153.884745,0.028135845,-0.90698475
44601157.229339,0.025031887,-0.90708762
44701160.573932,0.021859966,-0.9071272
44801163.918526,0.018781114,-0.9072026
44901167.263119,0.015605877,-0.90722501
45001170.607713,0.012476119,-0.90725404
45101173.952306,0.0094136493,-0.90739292
45201177.2969,0.0062850784,-0.90742713
45301180.641493,0.0031243449,-0.90736651
45401183.986086,-3.7856378e-005,-0.9074074
45501187.33068,-0.0031052679,-0.90744418
45601190.675273,-0.0062402119,-0.90734589
45701194.019867,-0.0094028059,-0.90742522
45801197.36446,-0.012551188,-0.9073019
45901200.709054,-0.015647659,-0.90729433
46001204.053647,-0.018768337,-0.90722859
46101207.398241,-0.021912867,-0.9070949
46201210.742834,-0.025029359,-0.90701175
46301214.087428,-0.02811653,-0.9069609
46401217.432021,-0.031255916,-0.9068591
46501220.776615,-0.034367733,-0.90679443
46601224.121208,-0.037467018,-0.90663308
46701227.465802,-0.040602744,-0.90647763
46801230.810395,-0.043686073,-0.90636444
46901234.154988,-0.046855893,-0.90624511
47001237.499582,-0.049937025,-0.90609294
47101240.844175,-0.053036846,-0.90595317
47201244.188769,-0.056136198,-0.90570146
47301247.533362,-0.059377074,-0.9055565
47401250.877956,-0.06241706,-0.90536082
47501254.222549,-0.065494053,-0.90522188
47601257.567143,-0.068600103,-0.90488029
47701260.911736,-0.071698606,-0.90473831
47801264.25633,-0.07484325,-0.90448552
47901267.600923,-0.077920169,-0.90423238
48001270.945517,-0.081018955,-0.9040398
48101274.29011,-0.084154211,-0.90374911
48201277.634704,-0.087237902,-0.90351623
48301280.979297,-0.090401039,-0.9031688
48401284.32389,-0.093436822,-0.90291774
48501287.668484,-0.096550517,-0.90266001
48601291.013077,-0.099656872,-0.9023599
48701294.357671,-0.10272723,-0.9019953
48801297.702264,-0.10585771,-0.90166169
48901301.046858,-0.10899068,-0.90143526
49001304.391451,-0.11205111,-0.90104961
49101307.736045,-0.11515652,-0.90060538
49201311.080638,-0.11823469,-0.90030336
49301314.425232,-0.1213401,-0.89988941
49401317.769825,-0.12446111,-0.89950353
49501321.114419,-0.12753831,-0.89915824
49601324.459012,-0.13061731,-0.89876676
49701327.803605,-0.13374045,-0.89839375
49801331.148199,-0.13680874,-0.89794302
49901334.492792,-0.13985838,-0.89745259
50001337.837386,-0.14295562,-0.89704454
50101341.181979,-0.14605738,-0.89662719
50201344.526573,-0.14912169,-0.89619184
50301347.871166,-0.1522384,-0.89571792
50401351.21576,-0.15533905,-0.8951689
50501354.560353,-0.15842831,-0.89462692
50601357.904947,-0.16152027,-0.89421415
50701361.24954,-0.16461957,-0.89378941
50801364.594134,-0.16765879,-0.89318126
50901367.938727,-0.1707702,-0.89263308
51001371.283321,-0.17386211,-0.89210641
51101374.627914,-0.17690848,-0.89160955
51201377.972507,-0.17998123,-0.89101571
51301381.317101,-0.18308499,-0.89046985
51401384.661694,-0.18615121,-0.88987416
51501388.006288,-0.18929869,-0.88930625
51601391.350881,-0.19239795,-0.88878453
51701394.695475,-0.19547327,-0.88812631
51801398.040068,-0.19859694,-0.88756764
51901401.384662,-0.20157525,-0.88693672
52001404.729255,-0.20466593,-0.88635343
52101408.073849,-0.20776822,-0.88572401
52201411.418442,-0.21079156,-0.88505697
52301414.763036,-0.21390717,-0.88438147
52401418.107629,-0.21698929,-0.88369739
52501421.452222,-0.22007315,-0.88301015
52601424.796816,-0.22317363,-0.88235456
52701428.141409,-0.22624545,-0.88166505
52801431.486003,-0.22932735,-0.8809588
52901434.830596,-0.23236369,-0.88018191
53001438.17519,-0.25145122,-0.87369096
53101441.519783,-0.25457799,-0.87294257
53201444.864377,-0.25745422,-0.87207723
53301448.20897,-0.26047739,-0.87127507
53401451.553564,-0.26346615,-0.87053251
53501454.898157,-0.26647556,-0.8696965
53601458.242751,-0.26941344,-0.86894625
53701461.587344,-0.27244127,-0.86794692
53801464.931938,-0.27531025,-0.86704499
53901468.276531,-0.27837887,-0.8661468
54001471.621124,-0.28127471,-0.86544603
54101474.965718,-0.28434309,-0.86448163
54201478.310311,-0.28735802,-0.86352122
54301481.654905,-0.29025999,-0.86276251
54401484.999498,-0.29326704,-0.86168671
54501488.344092,-0.29626748,-0.86072052
54601491.688685,-0.29914537,-0.85997266
54701495.033279,-0.30223444,-0.8590802
54801498.377872,-0.30514035,-0.85803294
54901501.722466,-0.30824155,-0.85708487
55001505.067059,-0.31115282,-0.85610116
55101508.411653,-0.31405759,-0.85514271
55201511.756246,-0.31703573,-0.85406339
55301515.100839,-0.32008031,-0.85315657
55401518.445433,-0.3229771,-0.8521533
55501521.790026,-0.32572544,-0.85116136
55601525.13462,-0.32871231,-0.8502028
55701528.479213,-0.33186272,-0.8490485
55801531.823807,-0.33482045,-0.84791458
55901535.1684,-0.33790481,-0.84687853
56001538.512994,-0.34077102,-0.84587729
56101541.857587,-0.34362647,-0.8446911
56201545.202181,-0.34663671,-0.84374565
56301548.546774,-0.34965056,-0.84254563
56401551.891368,-0.35251302,-0.84160244
56501555.235961,-0.35544065,-0.84051508
56601558.580555,-0.35832471,-0.83927995
56701561.925148,-0.36140707,-0.83816004
56801565.269741,-0.36426264,-0.83691955
56901568.614335,-0.36711997,-0.83573306
57001571.958928,-0.3701762,-0.83459747
57101575.303522,-0.37316084,-0.83344728
57201578.648115,-0.37597445,-0.83226925
57301581.992709,-0.37889448,-0.83091867
57401585.337302,-0.38188863,-0.82984018
57501588.681896,-0.38485572,-0.82872593
57601592.026489,-0.38767627,-0.8273958
57701595.371083,-0.3907676,-0.82622874
57801598.715676,-0.39359233,-0.82492691
57901602.06027,-0.39649794,-0.82352835
58001605.404863,-0.39930472,-0.82236916
58101608.749457,-0.40218869,-0.82103103
58201612.09405,-0.40527421,-0.81971729
58301615.438643,-0.40818179,-0.81848508
58401618.783237,-0.41098493,-0.81715941
58501622.12783,-0.41396204,-0.81582588
58601625.472424,-0.41690174,-0.81445366
58701628.817017,-0.41961214,-0.81315088
58801632.161611,-0.42270413,-0.8117854
58901635.506204,-0.42544308,-0.81032616
59001638.850798,-0.42835134,-0.80900735
59101642.195391,-0.43129274,-0.80764598
59201645.539985,-0.43422791,-0.80618507
59301648.884578,-0.43697098,-0.80487627
59401652.229172,-0.43988639,-0.80331582
59501655.573765,-0.44270313,-0.80194759
59601658.918358,-0.44569689,-0.80055654
59701662.262952,-0.44844469,-0.79909992
59801665.607545,-0.45132461,-0.79748344
59901668.952139,-0.45405504,-0.79604983
60001672.296732,-0.45704663,-0.79464436
60101675.641326,-0.45981532,-0.79315507
60201678.985919,-0.4626663,-0.79164612
60301682.330513,-0.46550563,-0.79015487
60401685.675106,-0.46831366,-0.78854907
60501689.0197,-0.47117624,-0.78699249
60601692.364293,-0.47397962,-0.78552318
60701695.708887,-0.47689915,-0.78389823
60801699.05348,-0.47965559,-0.78227264
60901702.398074,-0.4824639,-0.78081042
61001705.742667,-0.48532233,-0.77937126
61101709.08726,-0.48800561,-0.77754009
61201712.431854,-0.49091011,-0.77592593
61301715.776447,-0.49375075,-0.77446282
61401719.121041,-0.49641788,-0.77283978
61501722.465634,-0.49926162,-0.77110326
61601725.810228,-0.50207078,-0.76943696
61701729.154821,-0.50478911,-0.76776987
61801732.499415,-0.50760913,-0.76612264
61901735.844008,-0.51043504,-0.7644279
62001739.188602,-0.51320064,-0.76273841
62101742.533195,-0.51593983,-0.76100522
