!CSV A.01.01
!Agilent Technologies,N5227A,US51270345,A.09.80.20
!Agilent N5227A: A.09.80.20
!Date: Monday, November 26, 2018 16:21:16
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(REAL),S22(IMAG)
10000000,0.82483655,-0.36166236
10100003.344593,0.89371753,-0.36206117
10200006.689187,0.78349507,-0.25920129
10300010.03378,0.88745981,-0.43982834
10400013.378374,0.80810171,-0.4034228
10500016.722967,0.83056808,-0.46735576
10600020.067561,0.82174861,-0.33762378
10700023.412154,0.87650609,-0.35468173
10800026.756748,0.82125205,-0.43688369
10900030.101341,0.74063188,-0.37909743
11000033.445935,0.82441169,-0.48981133
11100036.790528,0.77882034,-0.44454637
11200040.135122,0.86855495,-0.41959855
11300043.479715,0.83907139,-0.27895036
11400046.824309,0.79697198,-0.4025971
11500050.168902,0.83045292,-0.41040665
11600053.513495,0.76643074,-0.46596035
11700056.858089,0.82897198,-0.41087213
11800060.202682,0.72984332,-0.50018603
11900063.547276,0.92074013,-0.48853335
12000066.891869,0.77511287,-0.43346402
12100070.236463,0.74902868,-0.43478715
12200073.581056,0.84074861,-0.39678833
12300076.92565,0.81322396,-0.44006014
12400080.270243,0.81588072,-0.4839426
12500083.614837,0.81037712,-0.43775308
12600086.95943,0.78873956,-0.50659716
12700090.304024,0.86516041,-0.43266603
12800093.648617,0.77790529,-0.38156575
12900096.99321,0.72050458,-0.41397443
13000100.337804,0.78246582,-0.47823417
13100103.682397,0.80743772,-0.45162478
13200107.026991,0.83767635,-0.48582184
13300110.371584,0.82383186,-0.46710092
13400113.716178,0.78501564,-0.49521977
13500117.060771,0.71692616,-0.42966512
13600120.405365,0.7665723,-0.42335403
13700123.749958,0.722206,-0.50356817
13800127.094552,0.74735099,-0.43089718
13900130.439145,0.7655285,-0.49727029
14000133.783739,0.8065533,-0.47637919
14100137.128332,0.74410075,-0.47634748
14200140.472926,0.794779,-0.4990848
14300143.817519,0.79799503,-0.44438547
14400147.162112,0.8051433,-0.44618249
14500150.506706,0.78116608,-0.46491635
14600153.851299,0.74738133,-0.5119049
14700157.195893,0.76414186,-0.48439986
14800160.540486,0.69614249,-0.49745718
14900163.88508,0.745417,-0.48275533
15000167.229673,0.81024927,-0.50318068
15100170.574267,0.77871227,-0.52324873
15200173.91886,0.77923429,-0.53874993
15300177.263454,0.78789335,-0.47992772
15400180.608047,0.69410801,-0.50650698
15500183.952641,0.73213899,-0.52095115
15600187.297234,0.75282556,-0.55039227
15700190.641827,0.77581197,-0.48026288
15800193.986421,0.75517809,-0.48086512
15900197.331014,0.74816906,-0.57251477
16000200.675608,0.7586621,-0.49945003
16100204.020201,0.72599083,-0.4857251
16200207.364795,0.74313402,-0.51688886
16300210.709388,0.74767751,-0.51192182
16400214.053982,0.73843193,-0.50059468
16500217.398575,0.74635655,-0.53329903
16600220.743169,0.72158289,-0.54742038
16700224.087762,0.7285015,-0.51420635
16800227.432356,0.71544665,-0.55192375
16900230.776949,0.72913182,-0.50298315
17000234.121543,0.74547398,-0.52133965
17100237.466136,0.77033865,-0.48421904
17200240.810729,0.71852374,-0.54173142
17300244.155323,0.71913123,-0.51118308
17400247.499916,0.74198532,-0.53064048
17500250.84451,0.71104473,-0.57004493
17600254.189103,0.74087805,-0.51954466
17700257.533697,0.71261472,-0.5250659
17800260.87829,0.72107685,-0.5449934
17900264.222884,0.71761125,-0.51939803
18000267.567477,0.73541403,-0.54465783
18100270.912071,0.73919708,-0.55174637
18200274.256664,0.69972301,-0.574413
18300277.601258,0.70807493,-0.56834793
18400280.945851,0.73626304,-0.55567527
18500284.290444,0.68482083,-0.57532251
18600287.635038,0.70614749,-0.58956426
18700290.979631,0.71581876,-0.55493981
18800294.324225,0.70802999,-0.56636751
18900297.668818,0.70600641,-0.568295
19000301.013412,0.71323586,-0.55463082
19100304.358005,0.69091612,-0.55093509
19200307.702599,0.66059166,-0.57455057
19300311.047192,0.69015604,-0.58877611
19400314.391786,0.68376553,-0.61493689
19500317.736379,0.70180744,-0.58143324
19600321.080973,0.68991399,-0.60062015
19700324.425566,0.66417664,-0.59606475
19800327.77016,0.68554544,-0.61276084
19900331.114753,0.66636503,-0.61918497
20000334.459346,0.6694774,-0.5924288
20100337.80394,0.64834541,-0.61264241
20200341.148533,0.6593523,-0.61505389
20300344.493127,0.62303096,-0.60393852
20400347.83772,0.67153513,-0.62165868
20500351.182314,0.69582349,-0.61242849
20600354.526907,0.6836766,-0.61520755
20700357.871501,0.64189768,-0.59600443
20800361.216094,0.68822598,-0.59906942
20900364.560688,0.66653407,-0.60662031
21000367.905281,0.66021854,-0.61885446
21100371.249875,0.6294741,-0.57609248
21200374.594468,0.6230287,-0.60871774
21300377.939062,0.66323709,-0.62122583
21400381.283655,0.6683594,-0.63662899
21500384.628248,0.67754799,-0.62968969
21600387.972842,0.62533009,-0.59664303
21700391.317435,0.62924361,-0.64536911
21800394.662029,0.62440312,-0.65057039
21900398.006622,0.6523754,-0.63402522
22000401.351216,0.64599931,-0.61561185
22100404.695809,0.646483,-0.58901203
22200408.040403,0.65511757,-0.63698041
22300411.384996,0.62713832,-0.66230673
22400414.72959,0.62830013,-0.66325808
22500418.074183,0.64310503,-0.65406328
22600421.418777,0.61358923,-0.63613009
22700424.76337,0.62889671,-0.62509233
22800428.107963,0.62278533,-0.65215701
22900431.452557,0.62677991,-0.66532308
23000434.79715,0.65358508,-0.61344528
23100438.141744,0.61762017,-0.65358639
23200441.486337,0.62608331,-0.64945078
23300444.830931,0.6391679,-0.64568025
23400448.175524,0.61425364,-0.62565893
23500451.520118,0.63904721,-0.64515519
23600454.864711,0.61111903,-0.64612335
23700458.209305,0.60638815,-0.66311336
23800461.553898,0.63042128,-0.66444808
23900464.898492,0.60424817,-0.65510547
24000468.243085,0.59510887,-0.65482438
24100471.587679,0.6067521,-0.66686511
24200474.932272,0.58439559,-0.65559125
24300478.276865,0.59556913,-0.66781223
24400481.621459,0.57784057,-0.66567558
24500484.966052,0.61095214,-0.65872872
24600488.310646,0.58797544,-0.64775074
24700491.655239,0.57696974,-0.65478235
24800494.999833,0.57673305,-0.67559272
24900498.344426,0.60447484,-0.66926616
25000501.68902,0.60158557,-0.70447654
25100505.033613,0.56219846,-0.67877853
25200508.378207,0.57496881,-0.68018329
25300511.7228,0.56231338,-0.68022549
25400515.067394,0.57825929,-0.70514321
25500518.411987,0.55762088,-0.68610179
25600521.75658,0.56746042,-0.69290459
25700525.101174,0.54954582,-0.69598675
25800528.445767,0.5816732,-0.71120721
25900531.790361,0.57602972,-0.68699145
26000535.134954,0.57245457,-0.6841476
26100538.479548,0.5787394,-0.69299698
26200541.824141,0.56049824,-0.68517238
26300545.168735,0.55306578,-0.71431965
26400548.513328,0.55894613,-0.68236774
26500551.857922,0.54358375,-0.70605558
26600555.202515,0.5752489,-0.71844995
26700558.547109,0.53862005,-0.70306182
26800561.891702,0.53973085,-0.72936094
26900565.236296,0.52457917,-0.70034218
27000568.580889,0.51671439,-0.71544296
27100571.925482,0.54109484,-0.69620222
27200575.270076,0.52175784,-0.71705776
27300578.614669,0.53486627,-0.72288668
27400581.959263,0.54681712,-0.7146982
27500585.303856,0.50542325,-0.71030676
27600588.64845,0.5168041,-0.71136022
27700591.993043,0.52281433,-0.73777473
27800595.337637,0.5202145,-0.7306385
27900598.68223,0.51098013,-0.72579533
28000602.026824,0.53418243,-0.73706537
28100605.371417,0.52430022,-0.71839774
28200608.716011,0.50700086,-0.7341665
28300612.060604,0.52377778,-0.73490268
28400615.405197,0.50547564,-0.72994441
28500618.749791,0.48869437,-0.73988152
28600622.094384,0.49350265,-0.74295205
28700625.438978,0.49166167,-0.72698784
28800628.783571,0.48221368,-0.75193882
28900632.128165,0.48740447,-0.75501561
29000635.472758,0.50359172,-0.75550193
29100638.817352,0.50038618,-0.74215472
29200642.161945,0.48292029,-0.74364418
29300645.506539,0.47616646,-0.7496348
29400648.851132,0.48235783,-0.75318533
29500652.195726,0.47215191,-0.74597085
29600655.540319,0.46404567,-0.76649684
29700658.884913,0.48169175,-0.76777148
29800662.229506,0.49140206,-0.75631344
29900665.574099,0.47311088,-0.74144197
30000668.918693,0.45637628,-0.75105184
30100672.263286,0.46620721,-0.75437599
30200675.60788,0.47697824,-0.75784141
30300678.952473,0.4632147,-0.77213174
30400682.297067,0.45262548,-0.74450892
30500685.64166,0.45221528,-0.77246153
30600688.986254,0.45632756,-0.74420387
30700692.330847,0.43016386,-0.77475876
30800695.675441,0.44195428,-0.78333503
30900699.020034,0.41636461,-0.77049935
31000702.364628,0.43294364,-0.78022838
31100705.709221,0.44235444,-0.7630862
31200709.053815,0.4460853,-0.76505119
31300712.398408,0.4317362,-0.76746982
31400715.743001,0.43597922,-0.74761301
31500719.087595,0.44445652,-0.7775299
31600722.432188,0.42263269,-0.78647101
31700725.776782,0.42605203,-0.77904582
31800729.121375,0.43497241,-0.79413211
31900732.465969,0.41803703,-0.78467852
32000735.810562,0.42314389,-0.79758954
32100739.155156,0.44584411,-0.78918618
32200742.499749,0.40684494,-0.7957893
32300745.844343,0.41249281,-0.7859928
32400749.188936,0.41871968,-0.78728044
32500752.53353,0.40407339,-0.79162318
32600755.878123,0.41161808,-0.81014931
32700759.222716,0.40275976,-0.80443144
32800762.56731,0.38741222,-0.7899062
32900765.911903,0.38927743,-0.7951085
33000769.256497,0.40663064,-0.79755288
33100772.60109,0.39265674,-0.79887861
33200775.945684,0.38769597,-0.8086611
33300779.290277,0.39697853,-0.81942147
33400782.634871,0.37975591,-0.81859905
33500785.979464,0.38375953,-0.79239148
33600789.324058,0.38178915,-0.80915248
33700792.668651,0.38015369,-0.79804325
33800796.013245,0.37265587,-0.80668676
33900799.357838,0.37885851,-0.79132968
34000802.702432,0.3544043,-0.81471109
34100806.047025,0.35440835,-0.81370544
34200809.391618,0.36688247,-0.80341494
34300812.736212,0.36168227,-0.82268864
34400816.080805,0.35186553,-0.82116866
34500819.425399,0.35393956,-0.81621486
34600822.769992,0.35504735,-0.81345999
34700826.114586,0.34566164,-0.81575596
34800829.459179,0.35293412,-0.81191599
34900832.803773,0.34898999,-0.83079839
35000836.148366,0.35461387,-0.82614422
35100839.49296,0.35097149,-0.82625425
35200842.837553,0.33093458,-0.81685859
35300846.182147,0.33564332,-0.81980532
35400849.52674,0.3274897,-0.84600329
35500852.871333,0.33353233,-0.82057297
35600856.215927,0.31895703,-0.8230617
35700859.56052,0.32504433,-0.83243281
35800862.905114,0.31989124,-0.83705872
35900866.249707,0.30441993,-0.83226657
36000869.594301,0.32050133,-0.82250941
36100872.938894,0.31645474,-0.84411258
36200876.283488,0.30533057,-0.84348941
36300879.628081,0.30621281,-0.84107327
36400882.972675,0.30075014,-0.8306458
36500886.317268,0.31436911,-0.85285825
36600889.661862,0.29974321,-0.83387077
36700893.006455,0.29302213,-0.84743553
36800896.351049,0.28977197,-0.83827788
36900899.695642,0.29563421,-0.8256706
37000903.040235,0.30121762,-0.83583051
37100906.384829,0.28026468,-0.84006232
37200909.729422,0.28662923,-0.8446573
37300913.074016,0.26448312,-0.8485263
37400916.418609,0.28313056,-0.86296588
37500919.763203,0.28362149,-0.8451497
37600923.107796,0.26183894,-0.84935158
37700926.45239,0.27224466,-0.85689998
37800929.796983,0.26300207,-0.84947336
37900933.141577,0.25876683,-0.84111303
38000936.48617,0.26407719,-0.83888078
38100939.830764,0.27661875,-0.84554648
38200943.175357,0.26822102,-0.85257465
38300946.51995,0.25190744,-0.86915904
38400949.864544,0.25438917,-0.85200787
38500953.209137,0.25721729,-0.87186825
38600956.553731,0.23523283,-0.85954779
38700959.898324,0.23692116,-0.85386252
38800963.242918,0.24227817,-0.85421157
38900966.587511,0.23440026,-0.85790908
39000969.932105,0.23274694,-0.85754406
39100973.276698,0.24250579,-0.86409879
39200976.621292,0.22768131,-0.86956787
39300979.965885,0.23041858,-0.86212891
39400983.310479,0.2319003,-0.86263019
39500986.655072,0.20756331,-0.87092686
39600989.999666,0.21449786,-0.85729897
39700993.344259,0.21274343,-0.8737644
39800996.688852,0.21211363,-0.87096483
39901000.033446,0.21546012,-0.86679524
40001003.378039,0.20550959,-0.85313165
40101006.722633,0.21184768,-0.87196636
40201010.067226,0.19091485,-0.86681455
40301013.41182,0.21051738,-0.86681461
40401016.756413,0.20181203,-0.87612605
40501020.101007,0.19202164,-0.86580861
40601023.4456,0.18514656,-0.87420595
40701026.790194,0.19523464,-0.86228478
40801030.134787,0.18114197,-0.87647253
40901033.479381,0.18687788,-0.8637116
41001036.823974,0.18557462,-0.86576897
41101040.168568,0.18709195,-0.87150836
41201043.513161,0.19446412,-0.88064957
41301046.857754,0.18068226,-0.87799799
41401050.202348,0.16568409,-0.88434511
41501053.546941,0.16645129,-0.87382764
41601056.891535,0.17006357,-0.87983197
41701060.236128,0.15890945,-0.87560672
41801063.580722,0.14890684,-0.88062435
41901066.925315,0.15551528,-0.87449294
42001070.269909,0.16078281,-0.8815546
42101073.614502,0.15173455,-0.88914979
42201076.959096,0.14172815,-0.89140791
42301080.303689,0.15042217,-0.894548
42401083.648283,0.14617823,-0.88919252
42501086.992876,0.14191349,-0.88202029
42601090.337469,0.14224108,-0.8878746
42701093.682063,0.13421981,-0.88606524
42801097.026656,0.12233092,-0.88761455
42901100.37125,0.13762692,-0.87540817
43001103.715843,0.12742099,-0.89708591
43101107.060437,0.12433004,-0.89011073
43201110.40503,0.11927615,-0.89103365
43301113.749624,0.1233639,-0.89238816
43401117.094217,0.10678589,-0.8974241
43501120.438811,0.11125072,-0.89377874
43601123.783404,0.10109852,-0.90253502
43701127.127998,0.10768827,-0.90509599
43801130.472591,0.10140491,-0.90011841
43901133.817185,0.10009604,-0.8939243
44001137.161778,0.10006151,-0.89595658
44101140.506371,0.099341735,-0.8860594
44201143.850965,0.095824674,-0.89301264
44301147.195558,0.080119826,-0.88947719
44401150.540152,0.084213734,-0.89204347
44501153.884745,0.074134454,-0.89305365
44601157.229339,0.078926265,-0.89920706
44701160.573932,0.08289884,-0.90521091
44801163.918526,0.071748316,-0.90229082
44901167.263119,0.071448453,-0.89180422
45001170.607713,0.061060779,-0.90810305
45101173.952306,0.059589345,-0.90074855
45201177.2969,0.064070046,-0.90162957
45301180.641493,0.051087525,-0.90192157
45401183.986086,0.044037927,-0.90150523
45501187.33068,0.050205078,-0.90438694
45601190.675273,0.047153559,-0.90044361
