!CSV A.01.01
!Agilent Technologies,N5227A,US51270345,A.09.80.20
!Agilent N5227A: A.09.80.20
!Date: Monday, November 26, 2018 16:10:59
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(REAL),S21(IMAG)
10000000,-1.4433706,0.87503481
10100003.344593,-1.5419219,0.81668019
10200006.689187,-1.3728557,0.92810225
10300010.03378,-1.3164632,0.99153048
10400013.378374,-1.4095374,0.85959214
10500016.722967,-1.3746769,0.9893111
10600020.067561,-1.3730156,0.87314063
10700023.412154,-1.4578526,0.81213939
10800026.756748,-1.3077831,0.93376005
10900030.101341,-1.3252444,0.89985842
11000033.445935,-1.3386292,0.9897539
11100036.790528,-1.4166762,0.85791934
11200040.135122,-1.3013723,0.97918081
11300043.479715,-1.3160988,0.885144
11400046.824309,-1.4087964,0.91675866
11500050.168902,-1.3651284,0.93753117
11600053.513495,-1.4411482,0.99948025
11700056.858089,-1.4179605,1.05073
11800060.202682,-1.2739652,1.0482229
11900063.547276,-1.3159925,0.98597312
12000066.891869,-1.3065741,1.0220181
12100070.236463,-1.3349227,1.0567858
12200073.581056,-1.3061773,1.1093563
12300076.92565,-1.2816887,0.99276638
12400080.270243,-1.2659141,0.9933005
12500083.614837,-1.3783498,0.98991162
12600086.95943,-1.2744399,1.0957572
12700090.304024,-1.351639,1.0456785
12800093.648617,-1.2779189,1.0500033
12900096.99321,-1.2600982,0.9782849
13000100.337804,-1.2182139,1.0667051
13100103.682397,-1.2121072,1.123781
13200107.026991,-1.2875223,0.97830302
13300110.371584,-1.2775084,1.1124971
13400113.716178,-1.2386706,1.0503596
13500117.060771,-1.1747929,1.1173303
13600120.405365,-1.1694024,1.0385386
13700123.749958,-1.2453065,1.0635028
13800127.094552,-1.2047802,1.0599748
13900130.439145,-1.2272037,1.0881076
14000133.783739,-1.2299317,1.1075184
14100137.128332,-1.1440022,1.2088425
14200140.472926,-1.2416649,1.1732408
14300143.817519,-1.2132511,1.1473988
14400147.162112,-1.1944925,1.1328068
14500150.506706,-1.1748569,1.1305168
14600153.851299,-1.1234833,1.1569889
14700157.195893,-1.2234869,1.2203677
14800160.540486,-1.1121438,1.1813818
14900163.88508,-1.1922072,1.1718103
15000167.229673,-1.1128993,1.1994992
15100170.574267,-1.1553332,1.2605116
15200173.91886,-1.1263683,1.1519269
15300177.263454,-1.1944745,1.1592402
15400180.608047,-1.1934984,1.197618
15500183.952641,-1.1511477,1.2523953
15600187.297234,-1.1208395,1.2596493
15700190.641827,-1.1364255,1.1978376
15800193.986421,-1.1149045,1.2306883
15900197.331014,-1.1629664,1.1609422
