!CSV A.01.01
!Agilent Technologies,N5227A,US51270345,A.09.80.20
!Agilent N5227A: A.09.80.20
!Date: Monday, November 26, 2018 16:11:43
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(REAL),S22(IMAG)
10000000,0.56376284,-0.26642814
10100003.344593,0.6355902,-0.22241762
10200006.689187,0.52847397,-0.3203392
10300010.03378,0.58605635,-0.33062348
10400013.378374,0.63181782,-0.41282693
10500016.722967,0.58326495,-0.31424016
10600020.067561,0.58884364,-0.30832365
10700023.412154,0.60595673,-0.27689263
10800026.756748,0.5106886,-0.3093735
10900030.101341,0.60032779,-0.27314082
11000033.445935,0.5855872,-0.38274327
11100036.790528,0.63747817,-0.38085285
11200040.135122,0.58102989,-0.38618019
11300043.479715,0.55436122,-0.34193346
11400046.824309,0.54521948,-0.42948452
11500050.168902,0.54234594,-0.35261378
11600053.513495,0.51987481,-0.34525794
11700056.858089,0.56699181,-0.40260521
11800060.202682,0.5564177,-0.34120113
11900063.547276,0.6055547,-0.42899752
12000066.891869,0.56814569,-0.35024026
12100070.236463,0.58732092,-0.28667325
12200073.581056,0.5446409,-0.38243467
12300076.92565,0.55402792,-0.2997615
12400080.270243,0.53217387,-0.39113653
12500083.614837,0.53139305,-0.33738741
12600086.95943,0.53623015,-0.3932924
12700090.304024,0.52290308,-0.31231838
12800093.648617,0.49883446,-0.3582207
12900096.99321,0.55677515,-0.37782145
13000100.337804,0.55752218,-0.40217295
13100103.682397,0.55148095,-0.39936712
13200107.026991,0.54498917,-0.363195
13300110.371584,0.49722126,-0.36924571
13400113.716178,0.53029138,-0.38266337
13500117.060771,0.53706813,-0.38889539
13600120.405365,0.51017171,-0.34913146
13700123.749958,0.55396861,-0.39535278
13800127.094552,0.47432306,-0.36301917
13900130.439145,0.57393944,-0.41324607
14000133.783739,0.48877031,-0.39332741
14100137.128332,0.52548748,-0.36903319
14200140.472926,0.53158492,-0.37954798
14300143.817519,0.52428401,-0.34798163
14400147.162112,0.52962518,-0.39448175
14500150.506706,0.51964664,-0.36119035
14600153.851299,0.5049237,-0.41821837
14700157.195893,0.54166925,-0.38579437
14800160.540486,0.52585673,-0.42044628
14900163.88508,0.50671673,-0.33752823
15000167.229673,0.5447619,-0.44823042
15100170.574267,0.52098191,-0.40529397
15200173.91886,0.49894264,-0.38373119
15300177.263454,0.50371569,-0.41137108
15400180.608047,0.48745951,-0.37022632
15500183.952641,0.5297913,-0.44266707
15600187.297234,0.48936284,-0.37660426
15700190.641827,0.53649157,-0.43069795
15800193.986421,0.51387048,-0.39352688
15900197.331014,0.54778397,-0.41825262
16000200.675608,0.50145876,-0.41591206
16100204.020201,0.51771414,-0.42448375
16200207.364795,0.49420938,-0.40746561
16300210.709388,0.51152992,-0.44482091
16400214.053982,0.43119177,-0.41635063
16500217.398575,0.49799839,-0.44199073
