!CSV A.01.01
!Agilent Technologies,N5227A,US51270345,A.09.80.20
!Agilent N5227A: A.09.80.20
!Date: Monday, November 26, 2018 16:04:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(REAL),S22(IMAG)
10000000,0.82844663,-0.39386219
10100003.344593,0.82720447,-0.3960591
10200006.689187,0.82639903,-0.39812043
10300010.03378,0.82518625,-0.40023434
10400013.378374,0.82352602,-0.40267456
10500016.722967,0.82250899,-0.40444434
10600020.067561,0.82155448,-0.40707836
10700023.412154,0.81970018,-0.40858704
10800026.756748,0.81861961,-0.41107452
10900030.101341,0.81802964,-0.41291943
11000033.445935,0.81654757,-0.41520175
11100036.790528,0.81546879,-0.41742802
11200040.135122,0.81440759,-0.41943204
11300043.479715,0.81294829,-0.42144513
11400046.824309,0.81171471,-0.42363796
11500050.168902,0.81111276,-0.42568958
11600053.513495,0.80937606,-0.42771801
11700056.858089,0.80804038,-0.43007392
11800060.202682,0.80670351,-0.43228149
11900063.547276,0.80566764,-0.43442217
12000066.891869,0.80429476,-0.43604577
12100070.236463,0.8032369,-0.43837854
12200073.581056,0.802481,-0.44022655
12300076.92565,0.80088174,-0.44223991
12400080.270243,0.80033183,-0.44435093
12500083.614837,0.79884416,-0.44667301
12600086.95943,0.79722494,-0.448264
12700090.304024,0.79651207,-0.45069456
12800093.648617,0.79502481,-0.4526335
12900096.99321,0.79379159,-0.45494664
13000100.337804,0.79230803,-0.45670262
13100103.682397,0.7908572,-0.45890388
13200107.026991,0.78982472,-0.46065381
13300110.371584,0.7882117,-0.4630506
13400113.716178,0.7869398,-0.46472561
13500117.060771,0.78624076,-0.46717793
13600120.405365,0.78478301,-0.46899551
13700123.749958,0.78354359,-0.47106278
13800127.094552,0.78217572,-0.47303522
13900130.439145,0.78091896,-0.47505841
14000133.783739,0.77928168,-0.47694525
14100137.128332,0.77761567,-0.47906241
14200140.472926,0.77688891,-0.48095015
14300143.817519,0.77510911,-0.48300293
14400147.162112,0.77361482,-0.48514956
14500150.506706,0.77194905,-0.48717999
14600153.851299,0.7709496,-0.48897719
14700157.195893,0.76934689,-0.49129263
14800160.540486,0.76796818,-0.49323678
14900163.88508,0.76658261,-0.4951283
15000167.229673,0.76526862,-0.49675906
15100170.574267,0.76360369,-0.49875891
15200173.91886,0.76213247,-0.50099123
15300177.263454,0.76033205,-0.50291359
15400180.608047,0.75841135,-0.50530726
15500183.952641,0.75719136,-0.50737888
15600187.297234,0.75534606,-0.50914031
15700190.641827,0.75381684,-0.51134062
15800193.986421,0.75212437,-0.51333815
15900197.331014,0.7502836,-0.51525533
16000200.675608,0.74877763,-0.51744753
16100204.020201,0.74739623,-0.51946944
16200207.364795,0.74559218,-0.52152073
16300210.709388,0.74391371,-0.52371597
16400214.053982,0.74208575,-0.52561182
16500217.398575,0.74052757,-0.52755779
16600220.743169,0.73905444,-0.5295462
16700224.087762,0.73756194,-0.53169
16800227.432356,0.73560262,-0.53357744
16900230.776949,0.7340104,-0.53550649
17000234.121543,0.73225904,-0.53751379
17100237.466136,0.73074692,-0.53935075
17200240.810729,0.72913271,-0.5411939
17300244.155323,0.72732943,-0.54333991
17400247.499916,0.72579008,-0.54521257
17500250.84451,0.7243284,-0.54698211
17600254.189103,0.72273678,-0.54906058
17700257.533697,0.72101212,-0.55093527
17800260.87829,0.71927088,-0.55278957
17900264.222884,0.71757632,-0.55482548
18000267.567477,0.71590561,-0.55655313
18100270.912071,0.7142691,-0.55837995
18200274.256664,0.71259004,-0.56034416
18300277.601258,0.71090645,-0.56224996
18400280.945851,0.70940363,-0.56422895
18500284.290444,0.70759755,-0.56600171
18600287.635038,0.7061013,-0.56771082
18700290.979631,0.70440805,-0.56959349
18800294.324225,0.70244735,-0.57168925
18900297.668818,0.70075613,-0.57337928
19000301.013412,0.69895333,-0.57535625
19100304.358005,0.69730186,-0.57723391
19200307.702599,0.69529259,-0.57911801
19300311.047192,0.69358104,-0.58110446
19400314.391786,0.69185263,-0.58300835
19500317.736379,0.69002283,-0.58487749
19600321.080973,0.68817598,-0.58662516
19700324.425566,0.6864925,-0.58842659
19800327.77016,0.68458879,-0.5903275
19900331.114753,0.6826328,-0.59223807
20000334.459346,0.68079484,-0.59416097
20100337.80394,0.67910004,-0.59600234
20200341.148533,0.6773538,-0.59769809
20300344.493127,0.67541397,-0.59950954
20400347.83772,0.67362851,-0.60126692
20500351.182314,0.67182761,-0.60315245
20600354.526907,0.67003226,-0.60487485
20700357.871501,0.66813272,-0.6068362
20800361.216094,0.66639107,-0.60855621
20900364.560688,0.66453964,-0.61040866
21000367.905281,0.66259044,-0.6119554
21100371.249875,0.6606493,-0.6137107
21200374.594468,0.65885776,-0.61559731
21300377.939062,0.65711385,-0.61747903
21400381.283655,0.65516758,-0.61905962
21500384.628248,0.65337849,-0.62093872
21600387.972842,0.65170419,-0.62244821
21700391.317435,0.64964503,-0.62427253
21800394.662029,0.64816523,-0.62581253
21900398.006622,0.64622962,-0.62774193
22000401.351216,0.64421332,-0.62920529
22100404.695809,0.64249647,-0.63113892
22200408.040403,0.64054638,-0.63293034
22300411.384996,0.63880348,-0.63459891
22400414.72959,0.63681543,-0.63632464
22500418.074183,0.6348477,-0.6380018
22600421.418777,0.63299578,-0.63959455
22700424.76337,0.63100809,-0.64148259
22800428.107963,0.62884206,-0.64322907
22900431.452557,0.62695324,-0.64491546
23000434.79715,0.62490797,-0.64663666
23100438.141744,0.62279695,-0.64830399
23200441.486337,0.62083048,-0.65012205
23300444.830931,0.6188063,-0.65188813
23400448.175524,0.61677194,-0.65350914
23500451.520118,0.61464816,-0.65532976
23600454.864711,0.61254042,-0.65700835
23700458.209305,0.61062664,-0.65888113
23800461.553898,0.60850334,-0.66054004
23900464.898492,0.60642529,-0.66218895
24000468.243085,0.60436487,-0.66400611
24100471.587679,0.60250831,-0.66558337
24200474.932272,0.60020232,-0.66722447
24300478.276865,0.59824306,-0.66893202
24400481.621459,0.59622622,-0.67066926
24500484.966052,0.59407377,-0.67217749
24600488.310646,0.59193146,-0.67398477
24700491.655239,0.58989167,-0.67557007
24800494.999833,0.58786726,-0.67718917
24900498.344426,0.58573347,-0.67882186
25000501.68902,0.58371824,-0.68052644
25100505.033613,0.58152562,-0.68201369
25200508.378207,0.57939917,-0.68377376
25300511.7228,0.5773741,-0.68532407
25400515.067394,0.57515246,-0.68690819
25500518.411987,0.57310867,-0.68849146
25600521.75658,0.57103759,-0.69014603
25700525.101174,0.56884116,-0.69156384
25800528.445767,0.56669599,-0.69327861
25900531.790361,0.5647282,-0.69478506
26000535.134954,0.56266314,-0.69636011
26100538.479548,0.56041014,-0.69785076
26200541.824141,0.55821526,-0.69946343
26300545.168735,0.55607164,-0.7009477
26400548.513328,0.55386364,-0.70260102
26500551.857922,0.55160707,-0.70422339
26600555.202515,0.54947591,-0.7058472
26700558.547109,0.54729295,-0.70764363
26800561.891702,0.54499894,-0.70909625
26900565.236296,0.54280919,-0.71064341
27000568.580889,0.54060853,-0.7121923
27100571.925482,0.53831488,-0.71386361
27200575.270076,0.5361045,-0.71539694
27300578.614669,0.53378659,-0.71696496
27400581.959263,0.53173286,-0.71853018
27500585.303856,0.5294233,-0.72008455
27600588.64845,0.52713507,-0.7215721
27700591.993043,0.52487385,-0.72308981
27800595.337637,0.52263296,-0.72473532
27900598.68223,0.52033597,-0.72622406
28000602.026824,0.51813823,-0.72783601
28100605.371417,0.51584172,-0.72930747
28200608.716011,0.51351672,-0.73075342
28300612.060604,0.51132035,-0.73234344
28400615.405197,0.50900847,-0.73372185
28500618.749791,0.50666618,-0.7353043
28600622.094384,0.5044468,-0.73668104
28700625.438978,0.50212276,-0.73816139
28800628.783571,0.49981803,-0.73960322
28900632.128165,0.49748996,-0.74106961
29000635.472758,0.49530733,-0.74257767
29100638.817352,0.49295917,-0.74398953
29200642.161945,0.49067044,-0.74537474
29300645.506539,0.48827258,-0.7468707
29400648.851132,0.48598009,-0.74830681
29500652.195726,0.48359826,-0.74969059
29600655.540319,0.48135719,-0.75110775
29700658.884913,0.4790428,-0.75246012
29800662.229506,0.47660884,-0.75384951
29900665.574099,0.47433653,-0.7553252
30000668.918693,0.47166654,-0.75660509
30100672.263286,0.46934903,-0.75808072
30200675.60788,0.46687666,-0.75953466
30300678.952473,0.46452716,-0.76110917
30400682.297067,0.46209928,-0.76257217
30500685.64166,0.45959166,-0.76396495
30600688.986254,0.4571766,-0.76522589
30700692.330847,0.45483899,-0.76684022
30800695.675441,0.45233971,-0.76830357
30900699.020034,0.45006031,-0.76969308
31000702.364628,0.44748136,-0.77109617
31100705.709221,0.44512111,-0.77252972
31200709.053815,0.44269955,-0.77385247
31300712.398408,0.44032463,-0.77532941
31400715.743001,0.43777168,-0.77662945
31500719.087595,0.43534446,-0.77804649
31600722.432188,0.4328137,-0.77928954
31700725.776782,0.43044916,-0.78074545
31800729.121375,0.42796326,-0.78201926
31900732.465969,0.42542273,-0.78340632
32000735.810562,0.42306465,-0.78478235
32100739.155156,0.42049143,-0.78597414
32200742.499749,0.4180727,-0.78740215
32300745.844343,0.41555172,-0.78868222
32400749.188936,0.41311967,-0.79004335
32500752.53353,0.41063634,-0.79135478
32600755.878123,0.40802899,-0.79261804
32700759.222716,0.40560648,-0.79396737
32800762.56731,0.40304333,-0.79517776
32900765.911903,0.40057182,-0.79649395
33000769.256497,0.3980819,-0.79776984
33100772.60109,0.39548382,-0.7990309
33200775.945684,0.39291722,-0.80029351
33300779.290277,0.39041704,-0.80145407
33400782.634871,0.38794342,-0.80279541
33500785.979464,0.38535142,-0.80407208
33600789.324058,0.38278243,-0.80519629
33700792.668651,0.38035372,-0.80651414
33800796.013245,0.37777257,-0.80768329
33900799.357838,0.375278,-0.80892098
34000802.702432,0.37265462,-0.81001484
34100806.047025,0.37006795,-0.811257
34200809.391618,0.36752868,-0.81242651
34300812.736212,0.36499587,-0.81357813
34400816.080805,0.36245185,-0.81476992
34500819.425399,0.35972956,-0.8159315
34600822.769992,0.35725328,-0.81708246
34700826.114586,0.35467911,-0.81821424
34800829.459179,0.35199121,-0.81930095
34900832.803773,0.3494271,-0.82044744
35000836.148366,0.34682861,-0.82157493
35100839.49296,0.34428725,-0.82271522
35200842.837553,0.34178039,-0.82378656
35300846.182147,0.3390879,-0.82487714
35400849.52674,0.33641276,-0.82593381
35500852.871333,0.33389226,-0.82704043
35600856.215927,0.3313483,-0.82805097
35700859.56052,0.32867765,-0.82911569
35800862.905114,0.32604507,-0.83029288
35900866.249707,0.32341474,-0.83136684
36000869.594301,0.32080096,-0.83236629
36100872.938894,0.31817889,-0.83336848
36200876.283488,0.31564209,-0.83443505
36300879.628081,0.31291026,-0.83543521
36400882.972675,0.31025502,-0.83651632
36500886.317268,0.30765441,-0.83742923
36600889.661862,0.30495727,-0.83846146
36700893.006455,0.30239972,-0.83950871
36800896.351049,0.29966065,-0.8404088
36900899.695642,0.29698005,-0.84145933
37000903.040235,0.29446393,-0.84246624
37100906.384829,0.29170451,-0.84328872
37200909.729422,0.28906217,-0.84435427
37300913.074016,0.28637999,-0.84532505
37400916.418609,0.28369731,-0.8462283
37500919.763203,0.28096744,-0.84720808
37600923.107796,0.27841181,-0.84809482
37700926.45239,0.27565649,-0.84899926
37800929.796983,0.27298349,-0.8499499
37900933.141577,0.2703121,-0.85077423
38000936.48617,0.26758489,-0.85161853
38100939.830764,0.26487431,-0.85250694
38200943.175357,0.2622444,-0.85342067
38300946.51995,0.25956082,-0.85428756
38400949.864544,0.25685632,-0.8550849
38500953.209137,0.254145,-0.85591358
38600956.553731,0.25142986,-0.85675895
38700959.898324,0.24872899,-0.85761338
38800963.242918,0.24602075,-0.85840112
38900966.587511,0.24334617,-0.85932499
39000969.932105,0.24062407,-0.8599987
39100973.276698,0.23789696,-0.86079121
39200976.621292,0.2351688,-0.86161792
39300979.965885,0.23256916,-0.86244559
39400983.310479,0.22976753,-0.86309659
39500986.655072,0.2270173,-0.86389565
39600989.999666,0.22437461,-0.8646782
39700993.344259,0.2215495,-0.86535233
39800996.688852,0.21881942,-0.86608005
39901000.033446,0.21605667,-0.86688459
40001003.378039,0.21339732,-0.86758971
40101006.722633,0.21069357,-0.86828792
40201010.067226,0.20794669,-0.86898321
40301013.41182,0.20520893,-0.8697108
40401016.756413,0.20243482,-0.87039888
40501020.101007,0.19969247,-0.87107348
40601023.4456,0.19699252,-0.87172198
40701026.790194,0.19424494,-0.87237471
40801030.134787,0.19144718,-0.87303382
40901033.479381,0.18874981,-0.87368339
41001036.823974,0.18602166,-0.87430292
41101040.168568,0.18322267,-0.87496829
41201043.513161,0.18045931,-0.87553048
41301046.857754,0.17775199,-0.87619793
41401050.202348,0.1749543,-0.87676841
41501053.546941,0.17221102,-0.87736225
41601056.891535,0.16939726,-0.87820113
41701060.236128,0.16660576,-0.87904996
41801063.580722,0.16380057,-0.87986344
41901066.925315,0.1609399,-0.88071406
42001070.269909,0.15816127,-0.8815068
42101073.614502,0.15526889,-0.88235158
42201076.959096,0.15253073,-0.88314807
42301080.303689,0.1496789,-0.88394523
42401083.648283,0.14682086,-0.88471693
42501086.992876,0.14402762,-0.88543618
42601090.337469,0.14120822,-0.88623732
42701093.682063,0.13827457,-0.88705623
42801097.026656,0.13544397,-0.88778573
42901100.37125,0.13263033,-0.88855505
43001103.715843,0.12973486,-0.88926983
43101107.060437,0.12689751,-0.89010113
43201110.40503,0.12402234,-0.89081246
43301113.749624,0.1211362,-0.89148456
43401117.094217,0.11825398,-0.8921712
43501120.438811,0.11541472,-0.89289498
43601123.783404,0.11252306,-0.89353722
43701127.127998,0.10960188,-0.89428651
43801130.472591,0.10673847,-0.89500827
43901133.817185,0.10390801,-0.89556223
44001137.161778,0.10097623,-0.89624429
44101140.506371,0.098082781,-0.89697719
